Data,SKU,ContagemDeEventos,TotalDeUsuarios
"2024-10-01","com.psafe.msuite.ultra_12mo_59.90",19,17
"2024-10-01","com.psafe.msuite.ads_free_12mo_13.90",2,2
"2024-10-01","com.psafe.msuite.adsfree_lto_12mo",2,2
"2024-10-01","com.psafe.msuite.pro_lto_12mo_39.90",2,2
"2024-10-01","com.psafe.msuite.pro_1mo_3.90",1,1
"2024-10-01","com.psafe.msuite.ultra_1mo_16.90",1,1
"2024-10-02","com.psafe.msuite.ultra_12mo_59.90",18,18
"2024-10-02","com.psafe.msuite.adsfree_lto_12mo",2,2
"2024-10-02","com.psafe.msuite.ads_free_12mo_13.90",1,1
"2024-10-03","com.psafe.msuite.ultra_12mo_59.90",18,18
"2024-10-03","com.psafe.msuite.adsfree_lto_12mo",1,1
"2024-10-03","com.psafe.msuite.pro_12mo_49.90",1,1
"2024-10-03","com.psafe.msuite.pro_1mo_3.90",1,1
"2024-10-03","com.psafe.msuite.pro_3day_trial_12mo49.9",1,1
"2024-10-03","com.psafe.msuite.pro_lto_12mo",1,1
"2024-10-03","com.psafe.msuite.pro_lto_12mo_39.90",1,1
"2024-10-04","com.psafe.msuite.ultra_12mo_59.90",28,22
"2024-10-04","com.psafe.msuite.pro_3day_trial_12mo49.9",2,2
"2024-10-04","com.psafe.msuite.pro_lto_12mo_39.90",2,2
"2024-10-04","com.psafe.msuite.ultra_1mo_16.90",2,2
"2024-10-04","com.psafe.msuite.ads_free_12mo_13.90",1,1
"2024-10-04","com.psafe.msuite.pro_12mo_29.88",1,1
"2024-10-05","com.psafe.msuite.ultra_12mo_59.90",20,20
"2024-10-05","com.psafe.msuite.pro_12mo_49.90",2,2
"2024-10-05","com.psafe.msuite.ads_free_12mo_13.90",1,1
"2024-10-06","com.psafe.msuite.ultra_12mo_59.90",29,23
"2024-10-06","com.psafe.msuite.adsfree_lto_12mo",1,1
"2024-10-06","com.psafe.msuite.pro_1mo_3.90",1,1
"2024-10-06","com.psafe.msuite.pro_3day_trial_12mo49.9",1,1
"2024-10-06","com.psafe.msuite.ultra_1mo_16.90",1,1
"2024-10-07","com.psafe.msuite.ultra_12mo_59.90",8,8
"2024-10-07","com.psafe.msuite.ads_free_12mo_13.90",1,1
"2024-10-07","com.psafe.msuite.adsfree_lto_12mo",1,1
"2024-10-07","com.psafe.msuite.pro_lto_12mo_39.90",1,1
"2024-10-08","com.psafe.msuite.ultra_12mo_59.90",17,17
"2024-10-08","com.psafe.msuite.pro_3day_trial_12mo49.9",2,2
"2024-10-08","com.psafe.msuite.ads_free_12mo_13.90",1,1
"2024-10-08","com.psafe.msuite.pro_lto_12mo_39.90",1,1
"2024-10-08","com.psafe.msuite.ultra_1mo_16.90",1,1
"2024-10-09","com.psafe.msuite.ultra_12mo_59.90",20,20
