Data,SKU,ContagemDeEventos,TotalDeUsuarios
"2025-12-22","test_pro:yearly:default",3,1
"2025-12-23","test_pro:yearly:default",3,1
"2025-12-23","test_ultra:yearly:test-offer-1",2,1
"2025-12-23","test_adsfree:bimonthly:default",1,1
"2025-12-23","test_pro:monthly:default",1,1
"2025-12-23","test_pro:semiannual:default",1,1
"2025-12-26","test_adsfree:monthly:default",4,1
"2025-12-26","test_ultra:yearly:test-offer-1",4,1
"2025-12-26","test_pro:bimonthly:default",1,1
"2025-12-26","test_pro:quarterly:default",1,1
"2025-12-26","test_pro:semiannual:default",1,1
"2025-12-26","test_pro:yearly:default",1,1
"2025-12-26","test_ultra:yearly:test-offer-2",1,1
"2026-01-02","test_ultra:monthly:test-offer-1",3,1
"2026-01-02","test_pro:monthly:default",2,1
"2026-01-02","test_adsfree:monthly:default",1,1
"2026-01-06","com.psafe.msuite.ultra_1mo_16.90:p1m:default",9,1
"2026-01-06","com.psafe.msuite.pro_1mo_3.90:p1m:default",7,1
"2026-01-06","com.psafe.msuite.ads_free_12mo_13.90:p1y:default",3,1
"2026-01-06","com.psafe.msuite.ultra_12mo_59.90:p1y:trial",2,1
"2026-01-06","com.psafe.msuite.pro_3day_trial_12mo49.9:p1y:freetrial",1,1
"2026-01-06","com.psafe.msuite.ultra_12mo_59.90:p1y:default",1,1
"2026-01-06","test_pro:monthly:default",1,1
"2026-01-07","com.psafe.msuite.ultra_12mo_59.90:p1y:trial",2,1
"2026-01-07","com.psafe.msuite.ultra_1mo_16.90:p1m:default",2,1
"2026-01-07","com.psafe.msuite.pro_3day_trial_12mo49.9:p1y:freetrial",1,1
"2026-01-07","com.psafe.msuite.ultra_12mo_59.90:p1y:default",1,1
"2026-01-09","com.psafe.msuite.pro_lto_12mo_39.90:p1y:default",1,1
"2026-01-09","com.psafe.msuite.ultra_12mo_59.90:p1y:default",1,1
"2026-01-09","com.psafe.msuite.ultra_12mo_59.90:p1y:trial",1,1
"2026-01-09","com.psafe.msuite.ultra_1mo_16.90:p1m:default",1,1
