Data,Tela,ContagemDeEventos,TotalDeUsuarios
"2024-10-01","(not set)",24,24
"2024-10-01","trial_white_animation_all_features",2,2
"2024-10-01","plans_offer_annual_highlighted",1,1
"2024-10-02","(not set)",21,21
"2024-10-03","(not set)",24,24
"2024-10-04","(not set)",36,30
"2024-10-05","(not set)",23,23
"2024-10-06","(not set)",33,27
"2024-10-07","(not set)",11,11
"2024-10-08","(not set)",22,21
"2024-10-09","(not set)",23,23
"2024-10-10","(not set)",29,29
"2024-10-10","trial_white_animation_all_features",1,1
"2024-10-11","(not set)",23,23
"2024-10-12","(not set)",27,24
"2024-10-12","subscription_churn_alert",1,1
"2024-10-13","(not set)",31,24
"2024-10-14","(not set)",22,22
"2024-10-15","(not set)",20,20
"2024-10-16","(not set)",32,31
"2024-10-16","plans_offer_annual_highlighted",1,1
"2024-10-17","(not set)",29,29
"2024-10-17","trial_white_animation_all_features",1,1
"2024-10-18","(not set)",23,22
"2024-10-19","(not set)",18,18
"2024-10-20","(not set)",25,25
"2024-10-21","(not set)",27,27
"2024-10-22","(not set)",23,22
"2024-10-23","(not set)",18,18
"2024-10-24","(not set)",30,30
"2024-10-25","(not set)",14,14
"2024-10-26","(not set)",17,17
"2024-10-27","(not set)",26,26
"2024-10-28","(not set)",26,26
"2024-10-29","(not set)",24,23
"2024-10-30","(not set)",23,22
"2024-10-30","trial_white_animation_all_features",1,1
"2024-10-31","(not set)",29,29
"2024-10-31","trial_white_animation_all_features",1,1
"2024-11-01","(not set)",30,30
"2024-11-02","(not set)",29,28
"2024-11-03","(not set)",20,20
"2024-11-04","(not set)",32,32
"2024-11-05","(not set)",39,37
"2024-11-06","(not set)",23,23
"2024-11-07","(not set)",32,30
"2024-11-08","(not set)",38,38
"2024-11-09","(not set)",30,29
"2024-11-09","trial_white_animation_all_features",1,1
"2024-11-10","(not set)",22,22
"2024-11-11","(not set)",27,27
"2024-11-12","(not set)",18,16
"2024-11-13","(not set)",40,40
"2024-11-14","(not set)",26,26
"2024-11-15","(not set)",29,28
"2024-11-16","(not set)",34,33
"2024-11-17","(not set)",27,27
"2024-11-18","(not set)",28,27
"2024-11-18","trial_white_animation_all_features",2,2
"2024-11-19","(not set)",27,27
"2024-11-20","(not set)",25,25
"2024-11-21","(not set)",34,32
"2024-11-22","(not set)",30,30
"2024-11-23","(not set)",26,26
"2024-11-24","(not set)",25,25
"2024-11-25","(not set)",23,23
"2024-11-26","(not set)",33,33
"2024-11-27","(not set)",24,24
"2024-11-28","(not set)",29,29
"2024-11-28","trial_white_animation_all_features",1,1
"2024-11-29","(not set)",22,22
"2024-11-30","(not set)",32,32
"2024-12-01","(not set)",44,44
"2024-12-01","adsfree_promotion_lto",1,1
"2024-12-01","plans_manage",1,1
"2024-12-02","(not set)",27,26
"2024-12-03","(not set)",27,26
"2024-12-04","(not set)",34,34
"2024-12-04","plans_offer_annual_highlighted",1,1
"2024-12-05","(not set)",32,31
"2024-12-06","(not set)",28,28
"2024-12-07","(not set)",24,24
"2024-12-08","(not set)",29,28
"2024-12-09","(not set)",26,26
"2024-12-10","(not set)",39,39
"2024-12-10","trial_white_animation_all_features",1,1
"2024-12-11","(not set)",37,36
"2024-12-11","trial_white_animation_all_features",2,2
"2024-12-11","plans_offer_annual_highlighted",1,1
"2024-12-12","(not set)",29,29
"2024-12-13","(not set)",30,30
"2024-12-14","(not set)",30,28
"2024-12-15","(not set)",37,36
"2024-12-16","(not set)",30,30
"2024-12-17","(not set)",27,27
"2024-12-18","(not set)",25,25
"2024-12-19","(not set)",15,15
"2024-12-20","(not set)",27,27
"2024-12-20","trial_white_animation_all_features",1,1
"2024-12-21","(not set)",30,29
"2024-12-22","(not set)",30,30
"2024-12-23","(not set)",27,27
"2024-12-24","(not set)",20,20
"2024-12-25","(not set)",26,26
"2024-12-25","trial_white_animation_all_features",1,1
"2024-12-26","(not set)",26,26
"2024-12-27","(not set)",42,42
"2024-12-27","adsfree",1,1
"2024-12-28","(not set)",37,35
