Data,Tela,ContagemDeEventos,TotalDeUsuarios
"2024-10-01","(not set)",103664,102668
"2024-10-02","(not set)",108696,109047
"2024-10-03","(not set)",106641,105223
"2024-10-04","(not set)",111802,110054
"2024-10-05","(not set)",107006,104755
"2024-10-06","(not set)",106155,105501
"2024-10-07","(not set)",103346,102288
"2024-10-08","(not set)",104227,102690
"2024-10-09","(not set)",107566,106694
"2024-10-10","(not set)",108986,109099
"2024-10-11","(not set)",107029,106794
"2024-10-12","(not set)",98539,97802
"2024-10-13","(not set)",95689,94194
"2024-10-14","(not set)",103505,102672
"2024-10-15","(not set)",106672,107641
"2024-10-16","(not set)",102341,101423
"2024-10-17","(not set)",103178,104015
"2024-10-18","(not set)",105693,104448
"2024-10-19","(not set)",101404,100743
"2024-10-20","(not set)",95066,93959
"2024-10-21","(not set)",94440,94387
"2024-10-22","(not set)",91776,89992
"2024-10-23","(not set)",90741,90053
"2024-10-24","(not set)",100422,99656
"2024-10-25","(not set)",98544,97594
"2024-10-26","(not set)",94881,93551
"2024-10-27","(not set)",96560,95027
"2024-10-28","(not set)",101064,101001
"2024-10-29","(not set)",105693,104902
"2024-10-30","(not set)",107629,106871
"2024-10-31","(not set)",119787,118391
"2024-11-01","(not set)",118301,116569
"2024-11-02","(not set)",106992,106470
"2024-11-03","(not set)",102246,101259
"2024-11-04","(not set)",99059,98846
"2024-11-05","(not set)",98266,97580
"2024-11-06","(not set)",96506,95985
"2024-11-07","(not set)",97936,98622
"2024-11-08","(not set)",103026,101359
"2024-11-09","(not set)",99869,98894
"2024-11-10","(not set)",99885,98935
"2024-11-11","(not set)",99512,98850
"2024-11-12","(not set)",101747,101485
"2024-11-13","(not set)",106991,105940
"2024-11-14","(not set)",104941,104006
"2024-11-15","(not set)",100392,99790
"2024-11-16","(not set)",101931,100358
"2024-11-17","(not set)",95703,95148
"2024-11-18","(not set)",103185,102612
"2024-11-19","(not set)",103330,102669
"2024-11-20","(not set)",100123,99812
"2024-11-21","(not set)",105796,104819
"2024-11-22","(not set)",111422,111459
"2024-11-23","(not set)",109511,108261
"2024-11-24","(not set)",102833,100785
"2024-11-25","(not set)",105971,107487
"2024-11-26","(not set)",98774,97783
"2024-11-27","(not set)",103120,101141
"2024-11-28","(not set)",101649,100240
"2024-11-29","(not set)",103896,102872
"2024-11-30","(not set)",101219,99999
"2024-12-01","(not set)",102471,101633
"2024-12-02","(not set)",103528,102728
"2024-12-03","(not set)",111933,110066
"2024-12-04","(not set)",107691,106749
"2024-12-05","(not set)",111971,112245
"2024-12-06","(not set)",108458,107657
"2024-12-07","(not set)",105602,104213
"2024-12-08","(not set)",101074,100708
"2024-12-09","(not set)",104241,103132
"2024-12-10","(not set)",108485,107637
"2024-12-11","(not set)",106007,105296
"2024-12-12","(not set)",108514,107928
"2024-12-13","(not set)",104443,104565
"2024-12-14","(not set)",103157,101608
"2024-12-15","(not set)",99083,98431
"2024-12-16","(not set)",103500,103686
"2024-12-17","(not set)",102155,99726
"2024-12-18","(not set)",102188,102168
"2024-12-19","(not set)",97704,97441
"2024-12-20","(not set)",103278,101577
"2024-12-21","(not set)",92698,92340
"2024-12-22","(not set)",95745,95218
"2024-12-23","(not set)",99558,98270
"2024-12-24","(not set)",94323,93790
"2024-12-25","(not set)",88771,88553
"2024-12-26","(not set)",93165,93002
"2024-12-27","(not set)",94460,92732
"2024-12-28","(not set)",91403,91231
"2024-12-29","(not set)",92865,91685
"2024-12-30","(not set)",95018,94601
"2024-12-31","(not set)",90496,89620
"2025-01-01","(not set)",97958,96201
"2025-01-02","(not set)",99801,98692
"2025-01-03","(not set)",96428,95459
"2025-01-04","(not set)",95693,93772
"2025-01-05","(not set)",94388,92831
"2025-01-06","(not set)",99068,98897
"2025-01-07","(not set)",101676,100186
"2025-01-08","(not set)",103991,103755
"2025-01-09","(not set)",100666,100763
"2025-01-10","(not set)",101194,100651
"2025-01-11","(not set)",102707,101868
"2025-01-12","(not set)",100892,100572
"2025-01-13","(not set)",100987,100308
"2025-01-14","(not set)",99794,98578
"2025-01-15","(not set)",97573,97673
"2025-01-16","(not set)",99384,98439
"2025-01-17","(not set)",100753,100615
"2025-01-18","(not set)",97594,95976
"2025-01-19","(not set)",89744,88318
"2025-01-20","(not set)",89685,89014
"2025-01-21","(not set)",89678,88928
"2025-01-22","(not set)",92117,90864
"2025-01-23","(not set)",89880,89159
"2025-01-24","(not set)",90550,89320
"2025-01-25","(not set)",90706,90593
"2025-01-26","(not set)",86204,85382
"2025-01-27","(not set)",93989,92741
"2025-01-28","(not set)",93183,93981
"2025-01-29","(not set)",97521,96282
"2025-01-30","(not set)",92733,91076
"2025-01-31","(not set)",94696,94666
"2025-02-01","(not set)",92722,91919
"2025-02-02","(not set)",84147,83711
"2025-02-03","(not set)",88422,88377
"2025-02-04","(not set)",99225,98280
"2025-02-05","(not set)",92455,92518
"2025-02-06","(not set)",92944,91761
"2025-02-07","(not set)",86257,84668
"2025-02-08","(not set)",89353,88397
"2025-02-09","(not set)",90458,90045
"2025-02-10","(not set)",87749,87151
"2025-02-11","(not set)",89707,87584
"2025-02-12","(not set)",89940,88842
"2025-02-13","(not set)",86173,84879
"2025-02-14","(not set)",91268,90004
"2025-02-15","(not set)",92277,92721
"2025-02-16","(not set)",81914,81887
"2025-02-17","(not set)",81802,80254
"2025-02-18","(not set)",82123,81609
"2025-02-19","(not set)",89080,88326
"2025-02-20","(not set)",90476,91759
"2025-02-21","(not set)",90019,88878
"2025-02-22","(not set)",85921,86808
"2025-02-23","(not set)",81909,82998
"2025-02-24","(not set)",78683,78430
"2025-02-25","(not set)",93179,92454
"2025-02-26","(not set)",90613,89400
"2025-02-27","(not set)",87732,87468
"2025-02-28","(not set)",89226,89579
"2025-03-01","(not set)",85973,84241
"2025-03-02","(not set)",84404,81940
"2025-03-03","(not set)",82606,82452
"2025-03-04","(not set)",84676,84530
"2025-03-05","(not set)",85960,85265
"2025-03-06","(not set)",86513,86253
"2025-03-07","(not set)",89901,89477
"2025-03-08","(not set)",85745,85285
"2025-03-09","(not set)",82771,81963
"2025-03-10","(not set)",88877,88474
"2025-03-11","(not set)",84576,83930
"2025-03-12","(not set)",81843,81427
"2025-03-13","(not set)",86744,86296
"2025-03-14","(not set)",85207,83903
"2025-03-15","(not set)",85145,84505
"2025-03-16","(not set)",79510,79498
"2025-03-17","(not set)",86635,86614
"2025-03-18","(not set)",83716,82808
"2025-03-19","(not set)",85348,84061
