Data,NomeDoEvento,ContagemDeEventos,TotalDeUsuarios,EventosPorUsuario,ReceitaCombinada
2024-11-01,state_hidden_gallery,15883264,837527,53.13,0
2024-11-01,state_notification,15874971,837513,53.10,0
2024-11-01,state_widget,15859710,836767,53.26,0
2024-11-01,state_security_alert,15856072,837121,53.06,0
2024-11-01,state_ads_free_subscription,15851300,836792,53.04,0
2024-11-01,state_update_monitor,15840513,835815,53.20,0
2024-11-01,state_are_notification_allowed,15834331,835646,53.18,0
2024-11-01,state_upgrade_premium,14941058,833255,50.30,0
2024-11-01,state_auto_optimization_security,14936434,833185,50.29,0
2024-11-01,state_auto_optimization_performance,14932512,832961,50.28,0
2024-11-01,state_medals,14927783,832723,50.26,0
2024-11-01,state_in_app_update,14785739,837917,48.99,0
2024-11-01,state_mediation_network,14766335,831079,49.75,0
2024-11-01,state_android_go,14762710,830856,49.70,0
2024-11-01,state_restricted_app_standby_bucket,14758877,830774,49.73,0
2024-11-01,state_antitheft,14755494,830552,49.72,0
2024-11-01,state_anti_phishing,14752132,830211,49.71,0
2024-11-01,state_assistant,14750708,830527,49.53,0
2024-11-01,state_charge_booster,14747214,830416,49.51,0
2024-11-01,state_daily_phone_checkup,14744393,830312,49.50,0
2024-11-01,state_data_monitoring,14740218,829502,49.67,0
2024-11-01,state_install_monitor,14737615,829502,49.66,0
2024-11-01,state_gallery_assistant,14736541,830131,49.47,0
2024-11-01,state_notification_manager,14726697,829322,49.62,0
2024-11-01,state_safe_app_installer,14724426,829322,49.62,0
2024-11-01,state_total_charge,14724148,830034,49.44,0
2024-11-01,state_whatsapp_cloning,14721362,829908,49.42,0
2024-11-01,state_wifi_theft_auto_scan_state,14717402,829086,49.59,0
2024-11-01,state_vault,14714582,829908,49.38,0
2024-11-01,state_permission_system_admin,14710219,829034,49.57,0
2024-11-01,state_permission_accessibility,14708478,828816,49.56,0
2024-11-01,state_permission_camera,14706685,828795,49.56,0
2024-11-01,state_permission_access_coarse_location,14704900,828698,49.55,0
2024-11-01,state_permission_access_fine_location,14703115,828698,49.55,0
2024-11-01,state_permission_draw_over_apps,14701340,828476,49.54,0
2024-11-01,state_permission_get_accounts,14699666,828476,49.53,0
2024-11-01,state_permission_gps,14698058,828649,49.53,0
2024-11-01,state_permission_miui_background_popup,14696246,828636,49.52,0
2024-11-01,state_permission_miui_change_wifi_state,14694642,828636,49.51,0
2024-11-01,state_permission_notification_access,14693064,828258,49.51,0
2024-11-01,state_permission_storage,14690087,828203,49.50,0
2024-11-01,state_permission_read_phone_state,14688660,828148,49.50,0
2024-11-01,state_permission_usage_access,14687183,828092,49.49,0
2024-11-01,state_permission_wifi,14685314,828092,49.49,0
2024-11-01,state_permission_miui_autostart,14655408,823446,49.92,0
2024-11-01,state_permission_post_notification,14321925,797063,51.11,0
2024-11-01,event_10350,14285762,931527,42.95,0
2024-11-01,event_10351,11210700,837636,37.25,0
2024-11-01,event_10358,6475904,339124,24.84,0
2024-11-01,event_17015,6466446,100734,90.68,0
2024-11-01,screen_view,5947286,310204,19.78,0
2024-11-01,ad_impression,5824482,294881,25.55,3207148248
2024-11-01,user_engagement,5493424,301940,18.19,0
2024-11-01,event_10353,5035137,296192,21.97,0
2024-11-01,event_7000,3665297,96056,38.28,0
2024-11-01,event_6800,2391661,753452,8.30,0
2024-11-01,event_6600,2027891,96143,21.11,0
2024-11-01,event_10352,1883301,368763,12.28,0
2024-11-01,user_profile,1485235,832661,5.00,0
2024-11-01,event_10505,1473860,240383,9.21,0
