Data,Tela,ContagemDeEventos,TotalDeUsuarios
"2024-10-01","(not set)",29166,20586
"2024-10-01","trial_white_animation_all_features",80,78
"2024-10-01","plans_offer_annual_highlighted",11,10
"2024-10-01","pro_promotion_urgent",10,10
"2024-10-01","adsfree",7,7
"2024-10-01","trial",4,4
"2024-10-01","bottom_timer_red",3,3
"2024-10-01","adsfree_promotion_lto",2,2
"2024-10-01","pro_promotion_lto",2,2
"2024-10-01","but_wait",1,1
"2024-10-01","trial_churner",1,1
"2024-10-02","(not set)",28210,20513
"2024-10-02","trial_white_animation_all_features",77,74
"2024-10-02","plans_offer_annual_highlighted",13,9
"2024-10-02","pro_promotion_urgent",8,8
"2024-10-02","adsfree",7,7
"2024-10-02","adsfree_promotion_lto",2,2
"2024-10-02","trial_churner",2,1
"2024-10-02","bottom_timer_red",1,1
"2024-10-02","but_wait",1,1
"2024-10-02","trial",1,1
"2024-10-03","(not set)",26857,19187
"2024-10-03","trial_white_animation_all_features",78,73
"2024-10-03","adsfree",9,9
"2024-10-03","pro_promotion_urgent",9,9
"2024-10-03","plans_offer_annual_highlighted",8,7
"2024-10-03","bottom_timer_red",5,3
"2024-10-03","trial",5,3
"2024-10-03","adsfree_promotion_lto",4,4
"2024-10-03","pro_promotion_lto",1,1
"2024-10-04","(not set)",27572,19573
"2024-10-04","trial_white_animation_all_features",79,77
"2024-10-04","bottom_timer_red",15,6
"2024-10-04","plans_offer_annual_highlighted",13,11
"2024-10-04","adsfree",12,12
"2024-10-04","pro_promotion_urgent",12,12
"2024-10-04","adsfree_promotion_lto",8,8
"2024-10-04","trial",5,5
"2024-10-04","breachreport_monitoring_ultra",1,1
"2024-10-04","but_wait",1,1
"2024-10-05","(not set)",26643,19127
"2024-10-05","trial_white_animation_all_features",68,64
"2024-10-05","plans_offer_annual_highlighted",11,7
"2024-10-05","adsfree",10,10
"2024-10-05","pro_promotion_urgent",8,8
"2024-10-05","bottom_timer_red",7,5
"2024-10-05","adsfree_promotion_lto",4,4
"2024-10-05","breachreport_monitoring_ultra",1,1
"2024-10-05","pro_promotion_lto",1,1
"2024-10-05","trial",1,1
"2024-10-05","trial_churner",1,1
"2024-10-06","(not set)",26608,18429
"2024-10-06","trial_white_animation_all_features",71,70
"2024-10-06","plans_offer_annual_highlighted",22,15
"2024-10-06","pro_promotion_urgent",5,5
