Data,Pais,SKU,ContagemDeEventos,TotalDeUsuarios
"2024-10-01","United States","com.psafe.msuite.ultra_12mo_59.90",6,6
"2024-10-01","Brazil","com.psafe.msuite.adsfree_lto_12mo",1,1
"2024-10-01","Brazil","com.psafe.msuite.ultra_12mo_59.90",1,1
"2024-10-02","Brazil","com.psafe.msuite.ultra_12mo_59.90",5,5
"2024-10-02","United States","com.psafe.msuite.ultra_12mo_59.90",3,3
"2024-10-02","Brazil","com.psafe.msuite.adsfree_lto_12mo",2,2
"2024-10-02","Brazil","com.psafe.msuite.ads_free_12mo_13.90",1,1
"2024-10-03","Brazil","com.psafe.msuite.ultra_12mo_59.90",5,5
"2024-10-03","Brazil","com.psafe.msuite.pro_lto_12mo",1,1
"2024-10-03","United States","com.psafe.msuite.ultra_12mo_59.90",1,1
"2024-10-04","Brazil","com.psafe.msuite.ultra_12mo_59.90",17,11
"2024-10-04","Brazil","com.psafe.msuite.ultra_1mo_16.90",1,1
"2024-10-04","United States","com.psafe.msuite.ultra_12mo_59.90",1,1
"2024-10-05","Brazil","com.psafe.msuite.ultra_12mo_59.90",6,6
"2024-10-05","United Arab Emirates","com.psafe.msuite.ultra_12mo_59.90",1,1
"2024-10-05","United States","com.psafe.msuite.ultra_12mo_59.90",1,1
"2024-10-06","Brazil","com.psafe.msuite.ultra_12mo_59.90",11,6
"2024-10-06","United Kingdom","com.psafe.msuite.ultra_12mo_59.90",1,1
"2024-10-06","United States","com.psafe.msuite.pro_3day_trial_12mo49.9",1,1
"2024-10-06","United States","com.psafe.msuite.ultra_12mo_59.90",1,1
"2024-10-07","Brazil","com.psafe.msuite.ultra_12mo_59.90",1,1
"2024-10-08","Brazil","com.psafe.msuite.ultra_12mo_59.90",3,3
"2024-10-08","Brazil","com.psafe.msuite.pro_3day_trial_12mo49.9",1,1
"2024-10-08","Brazil","com.psafe.msuite.pro_lto_12mo_39.90",1,1
"2024-10-08","United States","com.psafe.msuite.ultra_12mo_59.90",1,1
"2024-10-09","Brazil","com.psafe.msuite.ultra_12mo_59.90",6,6
"2024-10-09","United States","com.psafe.msuite.ultra_12mo_59.90",2,2
"2024-10-09","Brazil","com.psafe.msuite.pro_lto_12mo_39.90",1,1
"2024-10-09","United States","com.psafe.msuite.adsfree_lto_12mo",1,1
"2024-10-10","Brazil","com.psafe.msuite.ultra_12mo_59.90",4,4
"2024-10-10","Brazil","com.psafe.msuite.ads_free_12mo_13.90",2,2
"2024-10-10","Brazil","com.psafe.msuite.adsfree_lto_12mo",1,1
"2024-10-10","Brazil","com.psafe.msuite.pro_lto_12mo_39.90",1,1
"2024-10-10","Egypt","com.psafe.msuite.ultra_12mo_59.90",1,1
"2024-10-10","United States","com.psafe.msuite.adsfree_lto_12mo",1,1
"2024-10-10","United States","com.psafe.msuite.pro_12mo_49.90",1,1
"2024-10-11","Brazil","com.psafe.msuite.ultra_12mo_59.90",8,8
"2024-10-11","Brazil","com.psafe.msuite.pro_lto_12mo_39.90",1,1
"2024-10-12","Brazil","com.psafe.msuite.ultra_12mo_59.90",8,6
"2024-10-12","United States","com.psafe.msuite.ultra_12mo_59.90",2,2
"2024-10-12","Egypt","com.psafe.msuite.ultra_12mo_59.90",1,1
"2024-10-12","United States","(not set)",1,1
"2024-10-12","United States","com.psafe.msuite.adsfree_lto_12mo",1,1
"2024-10-13","Brazil","com.psafe.msuite.ultra_12mo_59.90",12,8
"2024-10-13","Brazil","com.psafe.msuite.ads_free_12mo_13.90",1,1
"2024-10-13","Brazil","com.psafe.msuite.ultra_1mo_16.90",1,1
"2024-10-13","Thailand","com.psafe.msuite.ultra_12mo_59.90",1,1
"2024-10-13","United States","com.psafe.msuite.adsfree_lto_12mo",1,1
"2024-10-13","United States","com.psafe.msuite.ultra_12mo_59.90",1,1
"2024-10-14","Brazil","com.psafe.msuite.ultra_12mo_59.90",4,4
"2024-10-14","Brazil","com.psafe.msuite.pro_3day_trial_12mo49.9",1,1
"2024-10-14","Brazil","com.psafe.msuite.pro_lto_12mo_39.90",1,1
"2024-10-14","Portugal","com.psafe.msuite.ultra_12mo_59.90",1,1
"2024-10-14","United States","com.psafe.msuite.ultra_12mo_59.90",1,1
"2024-10-15","Brazil","com.psafe.msuite.ultra_12mo_59.90",3,3
"2024-10-15","United States","com.psafe.msuite.ultra_12mo_59.90",3,3
