Data,Pais,SKU,ContagemDeEventos,TotalDeUsuarios
"2024-10-01","Brazil","(not set)",89,44
"2024-10-01","Brazil","com.psafe.msuite.ultra_12mo_59.90",35,10
"2024-10-01","Brazil","com.psafe.msuite.pro_lto_12mo_39.90",28,27
"2024-10-01","Brazil","com.psafe.msuite.adsfree_lto_12mo",14,14
"2024-10-01","United States","(not set)",13,5
"2024-10-01","Brazil","com.psafe.msuite.ads_free_12mo_13.90",11,8
"2024-10-01","United States","com.psafe.msuite.pro_lto_12mo_39.90",11,1
"2024-10-01","Egypt","(not set)",7,1
"2024-10-01","United States","com.psafe.msuite.ultra_12mo_59.90",7,1
"2024-10-01","Iran","(not set)",2,1
"2024-10-01","Brazil","com.psafe.msuite.ads_free_12mo",1,1
"2024-10-01","Brazil","com.psafe.msuite.pro_3day_trial_12mo49.9",1,1
"2024-10-01","Brazil","com.psafe.msuite.ultra_12mo",1,1
"2024-10-01","El Salvador","com.psafe.msuite.pro_lto_12mo_39.90",1,1
"2024-10-01","United States","com.psafe.msuite.adsfree_lto_12mo",1,1
"2024-10-01","United States","com.psafe.msuite.pro_1mo_3.90,com.psafe.msuite.pro_3day_trial_12mo49.9",1,1
"2024-10-02","Brazil","(not set)",51,34
"2024-10-02","Brazil","com.psafe.msuite.ultra_12mo_59.90",17,9
"2024-10-02","Brazil","com.psafe.msuite.ads_free_12mo_13.90",15,12
"2024-10-02","Brazil","com.psafe.msuite.pro_lto_12mo_39.90",15,15
"2024-10-02","Brazil","com.psafe.msuite.adsfree_lto_12mo",9,9
"2024-10-02","Canada","(not set)",8,1
"2024-10-02","Nigeria","(not set)",4,1
"2024-10-02","United States","(not set)",4,3
"2024-10-02","Philippines","com.psafe.msuite.ultra_12mo_59.90",3,1
"2024-10-02","United Kingdom","(not set)",3,1
"2024-10-02","United States","com.psafe.msuite.pro_lto_12mo_39.90",2,2
"2024-10-02","United States","com.psafe.msuite.ultra_12mo_59.90",2,1
"2024-10-02","Brazil","com.psafe.msuite.ads_free_12mo_13.90,com.psafe.msuite.pro_1mo_3.90,com.psafe.msuite.pro_3day_trial_12mo49.9,com.psafe.msuite.ultra_1mo_16.90,com.psafe.msuite.ultra_12mo_59.90",1,1
"2024-10-02","Brazil","com.psafe.msuite.pro_1mo_3.90,com.psafe.msuite.pro_3day_trial_12mo49.9",1,1
"2024-10-02","Dominican Republic","com.psafe.msuite.pro_lto_12mo_39.90",1,1
"2024-10-02","Guatemala","com.psafe.msuite.adsfree_lto_12mo",1,1
"2024-10-02","Iran","com.psafe.msuite.adsfree_lto_12mo",1,1
"2024-10-02","Mexico","com.psafe.msuite.pro_lto_12mo_39.90",1,1
"2024-10-02","Portugal","com.psafe.msuite.pro_lto_12mo_39.90",1,1
"2024-10-02","United States","com.psafe.msuite.ads_free_12mo_13.90",1,1
"2024-10-03","Brazil","(not set)",69,33
"2024-10-03","India","(not set)",26,1
"2024-10-03","Brazil","com.psafe.msuite.ultra_12mo_59.90",20,5
"2024-10-03","Mexico","(not set)",19,1
"2024-10-03","Germany","(not set)",13,1
"2024-10-03","Brazil","com.psafe.msuite.pro_lto_12mo_39.90",11,11
"2024-10-03","Brazil","com.psafe.msuite.adsfree_lto_12mo",10,9
"2024-10-03","Brazil","com.psafe.msuite.ads_free_12mo_13.90",9,6
"2024-10-03","Bangladesh","(not set)",8,1
"2024-10-03","Iran","(not set)",7,1
"2024-10-03","United States","com.psafe.msuite.ultra_1mo_16.90,com.psafe.msuite.ultra_12mo_59.90",3,1
"2024-10-03","United States","(not set)",2,2
"2024-10-03","United Kingdom","(not set)",1,1
"2024-10-03","United States","com.psafe.msuite.pro_12mo_49.90",1,1
"2024-10-03","United States","com.psafe.msuite.pro_lto_12mo_39.90",1,1
"2024-10-03","United States","com.psafe.msuite.ultra_12mo_59.90",1,1
"2024-10-04","Brazil","(not set)",69,37
"2024-10-04","Brazil","com.psafe.msuite.ultra_12mo_59.90",27,8
"2024-10-04","Brazil","com.psafe.msuite.pro_lto_12mo_39.90",26,25
"2024-10-04","United States","(not set)",23,6
"2024-10-04","Brazil","com.psafe.msuite.ads_free_12mo_13.90",22,16
"2024-10-04","Brazil","com.psafe.msuite.adsfree_lto_12mo",12,12
"2024-10-04","Cuba","(not set)",7,1
"2024-10-04","United States","com.psafe.msuite.ultra_12mo_59.90",4,2
"2024-10-04","United States","com.psafe.msuite.pro_lto_12mo_39.90",3,3
"2024-10-04","Peru","(not set)",2,1
"2024-10-04","United States","com.psafe.msuite.ads_free_12mo_13.90",2,1
"2024-10-04","Indonesia","com.psafe.msuite.ultra_12mo_59.90",1,1
"2024-10-04","United States","com.psafe.msuite.adsfree_lto_12mo",1,1
"2024-10-04","Yemen","(not set)",1,1
"2024-10-04","Yemen","com.psafe.msuite.pro_1mo_3.90,com.psafe.msuite.pro_3day_trial_12mo49.9",1,1
"2024-10-05","Brazil","(not set)",106,38
"2024-10-05","Brazil","com.psafe.msuite.ultra_12mo_59.90",24,7
"2024-10-05","Brazil","com.psafe.msuite.pro_lto_12mo_39.90",15,15
"2024-10-05","Egypt","(not set)",15,2
"2024-10-05","Brazil","com.psafe.msuite.pro_3day_trial_12mo49.9",11,1
"2024-10-05","Brazil","com.psafe.msuite.adsfree_lto_12mo",9,9
"2024-10-05","Cambodia","(not set)",8,1
"2024-10-05","United States","(not set)",8,2
"2024-10-05","Brazil","com.psafe.msuite.ads_free_12mo_13.90",6,5
"2024-10-05","United States","com.psafe.msuite.pro_lto_12mo_39.90",4,3
"2024-10-05","Philippines","(not set)",3,1
"2024-10-05","Philippines","com.psafe.msuite.ultra_12mo_59.90",2,1
"2024-10-05","Puerto Rico","com.psafe.msuite.ads_free_12mo_13.90",1,1
"2024-10-05","United States","com.psafe.msuite.ultra_12mo_59.90",1,1
"2024-10-06","Brazil","com.psafe.msuite.ultra_12mo_59.90",1045,10
"2024-10-06","Brazil","(not set)",75,29
"2024-10-06","Brazil","com.psafe.msuite.pro_3day_trial_12mo49.9",28,2
"2024-10-06","United States","com.psafe.msuite.ultra_12mo_59.90",16,2
"2024-10-06","Brazil","com.psafe.msuite.adsfree_lto_12mo",14,13
"2024-10-06","Brazil","com.psafe.msuite.ads_free_12mo_13.90",13,9
"2024-10-06","Iran","(not set)",11,1
"2024-10-06","Brazil","com.psafe.msuite.pro_lto_12mo_39.90",10,10
"2024-10-06","Indonesia","com.psafe.msuite.ultra_12mo_59.90",8,1
"2024-10-06","Indonesia","(not set)",7,1
"2024-10-06","United States","(not set)",4,3
"2024-10-06","Egypt","(not set)",2,1
"2024-10-06","Philippines","(not set)",2,1
"2024-10-06","Switzerland","(not set)",2,1
"2024-10-06","Mexico","com.psafe.msuite.pro_lto_12mo_39.90",1,1
"2024-10-06","United States","com.psafe.msuite.ads_free_12mo_13.90",1,1
"2024-10-06","United States","com.psafe.msuite.adsfree_lto_12mo",1,1
"2024-10-06","United States","com.psafe.msuite.pro_lto_12mo_39.90",1,1
"2024-10-07","Brazil","(not set)",106,39
"2024-10-07","Brazil","com.psafe.msuite.ultra_12mo_59.90",27,7
"2024-10-07","Brazil","com.psafe.msuite.pro_lto_12mo_39.90",20,20
"2024-10-07","Brazil","com.psafe.msuite.adsfree_lto_12mo",16,14
"2024-10-07","Brazil","com.psafe.msuite.ads_free_12mo_13.90",15,12
"2024-10-07","Egypt","(not set)",5,1
"2024-10-07","United States","(not set)",2,1
"2024-10-07","United States","0.0",2,1
"2024-10-07","Brazil","com.psafe.msuite.pro_1mo_3.90,com.psafe.msuite.pro_3day_trial_12mo49.9",1,1
"2024-10-07","Mexico","(not set)",1,1
"2024-10-07","United States","com.psafe.msuite.ads_free_12mo_13.90",1,1
"2024-10-07","United States","com.psafe.msuite.pro_lto_12mo_39.90",1,1
"2024-10-07","United States","com.psafe.msuite.ultra_12mo_59.90",1,1
"2024-10-08","Brazil","com.psafe.msuite.ultra_12mo_59.90",42,8
"2024-10-08","Brazil","(not set)",38,22
"2024-10-08","Brazil","com.psafe.msuite.pro_lto_12mo_39.90",27,15
"2024-10-08","Brazil","com.psafe.msuite.ads_free_12mo_13.90",12,9
"2024-10-08","Brazil","com.psafe.msuite.adsfree_lto_12mo",7,7
"2024-10-08","United States","(not set)",5,4
"2024-10-08","United States","com.psafe.msuite.pro_lto_12mo_39.90",4,4
"2024-10-08","Morocco","(not set)",2,1
"2024-10-08","Pakistan","(not set)",2,1
"2024-10-08","Portugal","(not set)",2,1
"2024-10-08","United States","com.psafe.msuite.pro_3day_trial_12mo49.9",2,1
"2024-10-08","Indonesia","com.psafe.msuite.ultra_12mo_59.90",1,1
"2024-10-08","Italy","com.psafe.msuite.ads_free_12mo_13.90",1,1
"2024-10-08","South Africa","com.psafe.msuite.pro_lto_12mo_39.90",1,1
"2024-10-08","United States","com.psafe.msuite.ads_free_12mo_13.90",1,1
"2024-10-08","United States","com.psafe.msuite.pro_1mo_3.90,com.psafe.msuite.pro_3day_trial_12mo49.9",1,1
"2024-10-08","Vietnam","com.psafe.msuite.pro_lto_12mo_39.90",1,1
"2024-10-09","Brazil","(not set)",63,26
"2024-10-09","Brazil","com.psafe.msuite.ultra_12mo_59.90",50,10
"2024-10-09","Brazil","com.psafe.msuite.adsfree_lto_12mo",21,21
"2024-10-09","Brazil","com.psafe.msuite.pro_lto_12mo_39.90",21,21
