Data,Pais,Tela,ContagemDeEventos,TotalDeUsuarios
"2024-10-01","Brazil","(not set)",175,95
"2024-10-01","United States","(not set)",33,9
"2024-10-01","Egypt","(not set)",7,1
"2024-10-01","Brazil","trial_white_animation_all_features",4,3
"2024-10-01","Iran","(not set)",2,1
"2024-10-01","Brazil","plans_offer_annual_highlighted",1,1
"2024-10-01","El Salvador","(not set)",1,1
"2024-10-02","Brazil","(not set)",103,68
"2024-10-02","United States","(not set)",9,7
"2024-10-02","Canada","(not set)",8,1
"2024-10-02","Brazil","trial_white_animation_all_features",4,3
"2024-10-02","Nigeria","(not set)",4,1
"2024-10-02","Philippines","(not set)",3,1
"2024-10-02","United Kingdom","(not set)",3,1
"2024-10-02","Brazil","adsfree",1,1
"2024-10-02","Brazil","plans_offer_annual_highlighted",1,1
"2024-10-02","Dominican Republic","(not set)",1,1
"2024-10-02","Guatemala","(not set)",1,1
"2024-10-02","Iran","(not set)",1,1
"2024-10-02","Mexico","(not set)",1,1
"2024-10-02","Portugal","(not set)",1,1
"2024-10-03","Brazil","(not set)",114,59
"2024-10-03","India","(not set)",26,1
"2024-10-03","Mexico","(not set)",19,1
"2024-10-03","Germany","(not set)",13,1
"2024-10-03","Bangladesh","(not set)",8,1
"2024-10-03","United States","(not set)",8,6
"2024-10-03","Iran","(not set)",7,1
"2024-10-03","Brazil","plans_offer_annual_highlighted",2,1
"2024-10-03","Brazil","trial_white_animation_all_features",2,2
"2024-10-03","Brazil","adsfree",1,1
"2024-10-03","United Kingdom","(not set)",1,1
"2024-10-04","Brazil","(not set)",152,90
"2024-10-04","United States","(not set)",33,10
"2024-10-04","Cuba","bottom_timer_red",7,1
"2024-10-04","Brazil","adsfree",2,2
"2024-10-04","Peru","(not set)",2,1
"2024-10-04","Yemen","(not set)",2,1
"2024-10-04","Brazil","plans_offer_annual_highlighted",1,1
"2024-10-04","Brazil","trial_white_animation_all_features",1,1
"2024-10-04","Indonesia","(not set)",1,1
"2024-10-05","Brazil","(not set)",171,71
"2024-10-05","Egypt","(not set)",15,2
"2024-10-05","United States","(not set)",13,6
"2024-10-05","Cambodia","(not set)",8,1
"2024-10-05","Philippines","(not set)",5,1
"2024-10-05","Puerto Rico","(not set)",1,1
"2024-10-06","Brazil","(not set)",1178,65
"2024-10-06","United States","(not set)",23,6
"2024-10-06","Indonesia","(not set)",15,2
"2024-10-06","Iran","(not set)",11,1
"2024-10-06","Brazil","plans_offer_annual_highlighted",5,3
"2024-10-06","Brazil","trial_white_animation_all_features",2,1
"2024-10-06","Egypt","(not set)",2,1
"2024-10-06","Philippines","(not set)",2,1
"2024-10-06","Switzerland","(not set)",2,1
"2024-10-06","Mexico","(not set)",1,1
"2024-10-07","Brazil","(not set)",177,79
"2024-10-07","United States","(not set)",7,5
"2024-10-07","Egypt","(not set)",5,1
"2024-10-07","Brazil","trial_white_animation_all_features",4,3
"2024-10-07","Brazil","plans_offer_annual_highlighted",2,1
"2024-10-07","Brazil","adsfree",1,1
"2024-10-07","Brazil","adsfree_promotion_lto",1,1
"2024-10-07","Mexico","(not set)",1,1
"2024-10-08","Brazil","(not set)",123,54
"2024-10-08","United States","(not set)",13,7
"2024-10-08","Morocco","(not set)",2,1
"2024-10-08","Pakistan","(not set)",2,1
"2024-10-08","Portugal","(not set)",2,1
"2024-10-08","Brazil","adsfree",1,1
"2024-10-08","Brazil","plans_offer_annual_highlighted",1,1
"2024-10-08","Brazil","trial_white_animation_all_features",1,1
"2024-10-08","Indonesia","(not set)",1,1
"2024-10-08","Italy","(not set)",1,1
"2024-10-08","South Africa","(not set)",1,1
"2024-10-08","Vietnam","(not set)",1,1
"2024-10-09","Brazil","(not set)",163,72
"2024-10-09","United States","(not set)",27,11
"2024-10-09","Saudi Arabia","(not set)",8,1
"2024-10-09","Brazil","adsfree",1,1
"2024-10-09","Brazil","plans_offer_annual_highlighted",1,1
"2024-10-09","United Kingdom","(not set)",1,1
"2024-10-10","Brazil","(not set)",163,73
"2024-10-10","France","(not set)",16,1
"2024-10-10","India","(not set)",12,2
"2024-10-10","United States","(not set)",9,6
"2024-10-10","Pakistan","(not set)",3,1
"2024-10-10","Brazil","trial_white_animation_all_features",2,2
"2024-10-10","Canada","(not set)",2,1
"2024-10-10","Brazil","adsfree",1,1
"2024-10-10","Brazil","plans_offer_annual_highlighted",1,1
"2024-10-11","Brazil","(not set)",145,74
"2024-10-11","United States","(not set)",7,4
"2024-10-11","Brazil","plans_offer_annual_highlighted",2,1
"2024-10-11","Mexico","(not set)",2,2
"2024-10-11","Brazil","trial_white_animation_all_features",1,1
"2024-10-11","Canada","(not set)",1,1
"2024-10-11","Libya","(not set)",1,1
"2024-10-11","Pakistan","(not set)",1,1
"2024-10-12","Brazil","(not set)",99,59
"2024-10-12","United States","(not set)",18,10
"2024-10-12","Indonesia","(not set)",2,1
"2024-10-12","Brazil","adsfree",1,1
"2024-10-12","United Kingdom","(not set)",1,1
"2024-10-13","Brazil","(not set)",215,65
"2024-10-13","Bangladesh","(not set)",9,1
"2024-10-13","United States","(not set)",8,5
"2024-10-13","Brazil","bottom_timer_red",5,1
"2024-10-13","Brazil","adsfree",2,2
"2024-10-13","Brazil","trial_white_animation_all_features",2,1
"2024-10-13","Indonesia","(not set)",2,1
"2024-10-13","Argentina","(not set)",1,1
"2024-10-13","Brazil","plans_offer_annual_highlighted",1,1
"2024-10-13","Brazil","pro_promotion_urgent",1,1
"2024-10-14","Brazil","(not set)",125,59
"2024-10-14","United States","(not set)",21,6
"2024-10-14","Iran","(not set)",9,1
"2024-10-14","Algeria","(not set)",8,1
"2024-10-14","Brazil","bottom_timer_red",3,1
"2024-10-14","Egypt","(not set)",2,1
"2024-10-14","India","(not set)",2,1
"2024-10-14","Mexico","(not set)",2,1
"2024-10-14","Saudi Arabia","(not set)",2,1
"2024-10-15","Brazil","(not set)",157,61
"2024-10-15","United States","(not set)",16,9
"2024-10-15","United Arab Emirates","(not set)",8,1
"2024-10-15","Singapore","(not set)",7,1
"2024-10-15","Brazil","adsfree",3,3
"2024-10-15","Brazil","trial_white_animation_all_features",3,3
"2024-10-15","Bangladesh","(not set)",2,1
"2024-10-15","Brazil","plans_offer_annual_highlighted",2,2
"2024-10-15","Iran","(not set)",2,1
"2024-10-15","Mexico","(not set)",2,1
"2024-10-15","United States","plans_offer_annual_highlighted",2,1
"2024-10-16","Brazil","(not set)",127,62
"2024-10-16","United States","(not set)",19,9
"2024-10-16","India","(not set)",8,1
"2024-10-16","Mexico","(not set)",4,1
"2024-10-16","Angola","(not set)",2,1
"2024-10-16","Brazil","plans_offer_annual_highlighted",2,1
"2024-10-16","Indonesia","(not set)",2,1
"2024-10-16","Brazil","adsfree",1,1
"2024-10-16","Brazil","trial_white_animation_all_features",1,1
"2024-10-16","United Kingdom","(not set)",1,1
