Data,Pais,Tela,ContagemDeEventos,TotalDeUsuarios
"2024-10-01","Brazil","(not set)",116,21
"2024-10-01","United States","(not set)",21,1
"2024-10-01","Bangladesh","(not set)",7,1
"2024-10-01","Brazil","trial_white_animation_all_features",4,1
"2024-10-01","Mexico","adsfree_toggle_switch",1,1
"2024-10-02","Brazil","(not set)",125,8
"2024-10-02","United States","(not set)",20,2
"2024-10-02","Canada","(not set)",10,1
"2024-10-02","Brazil","adsfree",1,1
"2024-10-02","Brazil","adsfree_toggle_switch",1,1
"2024-10-02","Brazil","trial_white_animation_all_features",1,1
"2024-10-03","Brazil","(not set)",88,13
"2024-10-03","Bangladesh","(not set)",8,1
"2024-10-03","Algeria","(not set)",2,1
"2024-10-03","Brazil","adsfree_toggle_switch",2,1
"2024-10-03","United States","(not set)",2,1
"2024-10-04","Brazil","(not set)",68,12
"2024-10-04","United States","(not set)",11,1
"2024-10-04","Iran","adsfree_toggle_switch",5,1
"2024-10-04","Brazil","trial_white_animation_all_features",2,1
"2024-10-04","Brazil","adsfree_toggle_switch",1,1
"2024-10-04","Peru","(not set)",1,1
"2024-10-05","Brazil","(not set)",43,8
"2024-10-05","Egypt","(not set)",6,1
"2024-10-06","Brazil","(not set)",47,8
"2024-10-06","United States","(not set)",22,2
"2024-10-06","Ethiopia","(not set)",8,1
"2024-10-06","Brazil","adsfree_toggle_switch",1,1
"2024-10-07","Brazil","(not set)",17,4
"2024-10-07","Iran","(not set)",13,1
"2024-10-07","United States","(not set)",8,1
"2024-10-07","Brazil","trial_white_animation_all_features",3,1
"2024-10-07","Bangladesh","(not set)",1,1
"2024-10-08","Brazil","(not set)",51,7
"2024-10-08","United States","(not set)",1,1
"2024-10-09","Brazil","(not set)",180,13
"2024-10-09","Bangladesh","(not set)",3,1
"2024-10-09","United States","(not set)",2,1
"2024-10-09","Iran","adsfree_toggle_switch",1,1
"2024-10-10","Brazil","(not set)",51,11
"2024-10-10","United States","(not set)",13,1
"2024-10-10","China","(not set)",10,1
"2024-10-10","Hong Kong","(not set)",9,1
"2024-10-10","Brazil","adsfree_toggle_switch",1,1
"2024-10-10","Brazil","trial_white_animation_all_features",1,1
"2024-10-11","Brazil","(not set)",109,16
"2024-10-11","China","(not set)",11,1
"2024-10-11","Bangladesh","(not set)",9,1
"2024-10-11","Iran","(not set)",2,1
"2024-10-11","Libya","(not set)",1,1
"2024-10-12","Brazil","(not set)",50,11
"2024-10-12","United States","(not set)",4,2
"2024-10-13","Brazil","(not set)",65,12
"2024-10-13","France","(not set)",9,1
"2024-10-13","Egypt","(not set)",4,2
"2024-10-13","Indonesia","(not set)",2,1
"2024-10-14","Brazil","(not set)",89,7
"2024-10-14","Bangladesh","(not set)",7,1
"2024-10-14","Iran","(not set)",3,1
"2024-10-14","United States","(not set)",1,1
"2024-10-15","Brazil","(not set)",81,11
"2024-10-15","Iran","(not set)",2,1
"2024-10-15","Pakistan","(not set)",2,1
"2024-10-15","United States","adsfree_toggle_switch",2,1
"2024-10-15","Brazil","trial_white_animation_all_features",1,1
"2024-10-15","France","(not set)",1,1
"2024-10-15","Singapore","(not set)",1,1
"2024-10-16","Brazil","(not set)",46,10
"2024-10-16","Angola","(not set)",2,1
"2024-10-16","Brazil","trial_white_animation_all_features",2,1
"2024-10-16","Mexico","(not set)",2,1
"2024-10-16","Brazil","plans_offer_annual_highlighted",1,1
"2024-10-17","Brazil","(not set)",28,7
"2024-10-17","United States","(not set)",7,1
"2024-10-17","Bangladesh","trial_white_animation_all_features",2,1
"2024-10-17","Bangladesh","adsfree_toggle_switch",1,1
"2024-10-17","Bangladesh","plans_offer_annual_highlighted",1,1
"2024-10-18","Brazil","(not set)",60,7
"2024-10-18","Bangladesh","(not set)",12,1
"2024-10-18","Brazil","plans_offer_annual_highlighted",3,1
"2024-10-19","Brazil","(not set)",66,18
"2024-10-19","Nigeria","(not set)",57,1
"2024-10-19","United Arab Emirates","(not set)",2,1
"2024-10-19","Brazil","trial_white_animation_all_features",1,1
"2024-10-20","Brazil","(not set)",93,11
"2024-10-20","Egypt","(not set)",8,1
"2024-10-20","Bangladesh","(not set)",2,1
"2024-10-20","Brazil","trial_white_animation_all_features",1,1
"2024-10-20","India","(not set)",1,1
"2024-10-21","Brazil","(not set)",53,10
"2024-10-21","Brazil","trial_white_animation_all_features",2,1
"2024-10-21","Indonesia","(not set)",2,1
"2024-10-21","South Africa","plans_offer_annual_highlighted",1,1
"2024-10-22","Brazil","(not set)",91,10
"2024-10-23","Brazil","(not set)",116,10
"2024-10-23","Philippines","(not set)",21,1
"2024-10-23","United States","(not set)",9,2
"2024-10-23","Brazil","adsfree_toggle_switch",1,1
"2024-10-24","Brazil","(not set)",68,17
"2024-10-24","United States","(not set)",11,3
"2024-10-24","Paraguay","(not set)",10,1
"2024-10-24","Brazil","trial_white_animation_all_features",2,1
"2024-10-25","Brazil","(not set)",46,8
"2024-10-25","Belgium","(not set)",13,1
"2024-10-25","Bangladesh","(not set)",3,1
"2024-10-25","Brazil","trial_white_animation_all_features",3,1
"2024-10-26","Brazil","(not set)",86,14
"2024-10-26","United States","(not set)",7,1
"2024-10-26","Yemen","(not set)",2,1
"2024-10-27","Brazil","(not set)",115,9
"2024-10-27","Yemen","adsfree_toggle_switch",2,1
"2024-10-27","South Africa","(not set)",1,1
"2024-10-28","Brazil","(not set)",24,8
"2024-10-28","Iran","adsfree_toggle_switch",3,1
"2024-10-28","Ghana","(not set)",1,1
"2024-10-29","Brazil","(not set)",52,8
"2024-10-29","Bangladesh","(not set)",7,1
"2024-10-29","Peru","(not set)",5,1
"2024-10-29","France","(not set)",3,1
"2024-10-29","Egypt","trial_white_animation_all_features",2,1
"2024-10-30","Brazil","(not set)",74,13
"2024-10-30","United States","(not set)",16,2
"2024-10-30","United Arab Emirates","(not set)",11,1
"2024-10-30","Brazil","trial_white_animation_all_features",4,2
"2024-10-30","Brazil","trial_churner",1,1
"2024-10-31","Brazil","(not set)",146,13
"2024-10-31","United States","(not set)",23,2
"2024-10-31","Iran","(not set)",13,1
"2024-10-31","Bangladesh","(not set)",1,1
"2024-11-01","Brazil","(not set)",72,18
"2024-11-01","United States","(not set)",2,1
"2024-11-01","Brazil","adsfree_toggle_switch",1,1
"2024-11-01","Brazil","trial_white_animation_all_features",1,1
"2024-11-02","Brazil","(not set)",147,20
"2024-11-02","Bangladesh","(not set)",7,1
"2024-11-02","Mexico","(not set)",7,1
"2024-11-02","Iran","(not set)",3,1
"2024-11-02","Brazil","trial_white_animation_all_features",2,1
"2024-11-03","Brazil","(not set)",159,21
"2024-11-03","Algeria","(not set)",7,1
"2024-11-04","Brazil","(not set)",64,13
"2024-11-04","Egypt","(not set)",10,2
"2024-11-04","Iran","(not set)",10,1
"2024-11-04","Ghana","(not set)",9,1
"2024-11-04","Mozambique","(not set)",9,1
"2024-11-04","United States","(not set)",9,2
"2024-11-04","Bangladesh","(not set)",7,1
"2024-11-04","United Kingdom","(not set)",2,1
"2024-11-05","Brazil","(not set)",89,15
"2024-11-05","United States","(not set)",15,2
"2024-11-05","Mexico","(not set)",5,1
"2024-11-06","Brazil","(not set)",129,16
"2024-11-06","Philippines","(not set)",63,1
"2024-11-06","Algeria","(not set)",11,1
"2024-11-06","Indonesia","(not set)",7,1
"2024-11-06","United States","(not set)",2,1
"2024-11-07","Brazil","(not set)",109,14
"2024-11-07","Bangladesh","(not set)",13,1
"2024-11-07","Türkiye","(not set)",8,1
"2024-11-07","Egypt","(not set)",3,1
"2024-11-07","United States","(not set)",1,1
"2024-11-08","Brazil","(not set)",332,9
"2024-11-08","Bangladesh","(not set)",1,1
"2024-11-08","Brazil","adsfree_toggle_switch",1,1
"2024-11-08","Nigeria","trial_white_animation_all_features",1,1
"2024-11-08","United States","(not set)",1,1
"2024-11-09","United States","(not set)",261,1
"2024-11-09","Brazil","(not set)",76,20
"2024-11-09","Morocco","(not set)",10,1
"2024-11-09","United States","trial_white_animation_all_features",6,1
"2024-11-09","Brazil","plans_offer_annual_highlighted",2,1
"2024-11-10","Brazil","(not set)",241,17
"2024-11-10","Mexico","(not set)",6,1
"2024-11-10","Angola","(not set)",3,1
"2024-11-10","Yemen","(not set)",2,1
"2024-11-10","France","adsfree_toggle_switch",1,1
"2024-11-11","Brazil","(not set)",166,19
"2024-11-11","United States","(not set)",29,1
"2024-11-11","Egypt","(not set)",6,1
"2024-11-11","Angola","(not set)",1,1
"2024-11-12","Brazil","(not set)",163,13
"2024-11-12","Egypt","(not set)",2,1
"2024-11-13","Brazil","(not set)",146,12
"2024-11-13","Brazil","trial_white_animation_all_features",1,1
"2024-11-14","Brazil","(not set)",67,14
"2024-11-14","Egypt","(not set)",13,1
"2024-11-14","Saudi Arabia","(not set)",7,1
"2024-11-14","Nigeria","(not set)",2,1
"2024-11-14","Brazil","trial_white_animation_all_features",1,1
"2024-11-15","Brazil","(not set)",131,22
"2024-11-15","Bangladesh","(not set)",6,1
"2024-11-15","Indonesia","(not set)",6,1
"2024-11-15","Mexico","(not set)",1,1
"2024-11-16","Brazil","(not set)",172,15
"2024-11-16","Bangladesh","(not set)",7,1
"2024-11-16","Iran","(not set)",7,1
"2024-11-16","Brazil","trial_white_animation_all_features",2,1
"2024-11-17","Brazil","(not set)",96,15
"2024-11-18","Brazil","(not set)",67,11
"2024-11-19","Brazil","(not set)",57,12
"2024-11-19","Saudi Arabia","(not set)",10,1
"2024-11-19","Bangladesh","(not set)",2,1
"2024-11-20","Brazil","(not set)",88,13
"2024-11-20","Morocco","(not set)",7,1
"2024-11-20","Iran","(not set)",6,1
"2024-11-21","Brazil","(not set)",82,14
"2024-11-21","Brazil","trial_white_animation_all_features",6,2
"2024-11-21","United States","(not set)",3,1
"2024-11-21","Algeria","(not set)",2,1
"2024-11-21","Luxembourg","(not set)",1,1
"2024-11-22","Brazil","(not set)",82,11
"2024-11-22","United States","(not set)",24,2
"2024-11-23","Brazil","(not set)",94,17
"2024-11-23","United States","(not set)",18,2
"2024-11-23","Germany","(not set)",9,1
"2024-11-23","Netherlands","(not set)",6,1
"2024-11-24","Brazil","(not set)",125,17
"2024-11-24","Brazil","trial_white_animation_all_features",2,1
"2024-11-24","Brazil","pro_promotion_urgent",1,1
"2024-11-25","Brazil","(not set)",177,27
"2024-11-25","Iran","(not set)",2,1
"2024-11-26","Brazil","(not set)",124,19
"2024-11-26","Iran","(not set)",14,1
"2024-11-26","Brazil","trial_white_animation_all_features",10,5
"2024-11-26","Morocco","(not set)",1,1
"2024-11-27","Brazil","(not set)",136,22
"2024-11-27","Bangladesh","(not set)",7,1
"2024-11-27","Yemen","adsfree_toggle_switch",3,1
"2024-11-28","Brazil","(not set)",70,12
"2024-11-28","United States","(not set)",1,1
"2024-11-29","Brazil","(not set)",62,12
"2024-11-29","United States","(not set)",14,2
"2024-11-29","Bangladesh","(not set)",2,1
"2024-11-29","Brazil","adsfree_toggle_switch",1,1
"2024-11-29","Zimbabwe","(not set)",1,1
"2024-11-30","Brazil","(not set)",145,28
"2024-11-30","United States","(not set)",12,1
"2024-11-30","Mexico","(not set)",7,1
"2024-11-30","Iran","(not set)",1,1
"2024-12-01","Brazil","(not set)",104,17
"2024-12-01","United Arab Emirates","(not set)",14,1
"2024-12-01","Germany","(not set)",10,1
"2024-12-01","United States","(not set)",9,1
"2024-12-02","Brazil","(not set)",70,15
"2024-12-02","United States","(not set)",4,2
"2024-12-02","Indonesia","(not set)",2,1
"2024-12-02","Brazil","trial_white_animation_all_features",1,1
"2024-12-03","Brazil","(not set)",53,8
"2024-12-03","United States","(not set)",32,3
"2024-12-03","Algeria","(not set)",7,1
"2024-12-03","Kuwait","(not set)",7,1
"2024-12-04","Brazil","(not set)",129,19
"2024-12-04","Brazil","trial_white_animation_all_features",6,2
"2024-12-04","Bangladesh","(not set)",5,1
"2024-12-05","Brazil","(not set)",61,11
"2024-12-05","Brazil","trial",9,1
"2024-12-05","Brazil","trial_white_animation_all_features",3,1
"2024-12-05","Bangladesh","(not set)",2,1
"2024-12-05","Egypt","(not set)",2,1
"2024-12-05","Mexico","(not set)",2,1
"2024-12-05","United States","(not set)",2,2
"2024-12-06","Brazil","(not set)",85,13
"2024-12-06","United States","(not set)",16,2
"2024-12-06","Bangladesh","(not set)",10,1
"2024-12-06","Iran","(not set)",7,1
"2024-12-07","Brazil","(not set)",130,20
"2024-12-07","Iran","(not set)",13,1
"2024-12-07","United States","(not set)",3,1
"2024-12-07","Libya","trial_white_animation_all_features",2,1
"2024-12-07","Saudi Arabia","(not set)",2,1
"2024-12-07","Brazil","trial_white_animation_all_features",1,1
"2024-12-08","Brazil","(not set)",144,19
