Data,SKU,ContagemDeEventos,TotalDeUsuarios
"2026-01-19","com.psafe.msuite.ultra_12mo_59.90",9,9
"2026-01-19","com.psafe.msuite.ultra_1mo_16.90",1,1
"2026-01-20","com.psafe.msuite.ultra_12mo_59.90",8,8
"2026-01-20","com.psafe.msuite.ultra_1mo_16.90",2,2
"2026-01-20","com.psafe.msuite.ads_free_12mo_13.90",1,1
"2026-01-20","com.psafe.msuite.pro_1mo_3.90",1,1
"2026-01-21","com.psafe.msuite.ultra_12mo_59.90",10,10
"2026-01-21","com.psafe.msuite.adsfree_lto_12mo",2,2
"2026-01-21","com.psafe.msuite.pro_3day_trial_12mo49.9",1,1
"2026-01-21","com.psafe.msuite.ultra_1mo_16.90",1,1
"2026-01-22","com.psafe.msuite.ultra_12mo_59.90",12,12
"2026-01-22","com.psafe.msuite.ads_free_12mo_13.90",1,1
"2026-01-23","com.psafe.msuite.ultra_12mo_59.90",15,15
"2026-01-23","com.psafe.msuite.ads_free_12mo_13.90",4,3
"2026-01-23","com.psafe.msuite.adsfree_lto_12mo",1,1
"2026-01-23","com.psafe.msuite.pro_12mo_49.90",1,1
"2026-01-23","com.psafe.msuite.pro_3day_trial_12mo49.9",1,1
"2026-01-23","com.psafe.msuite.ultra_1mo_16.90",1,1
"2026-01-24","com.psafe.msuite.ultra_12mo_59.90",11,11
"2026-01-24","com.psafe.msuite.ads_free_12mo_13.90",2,2
"2026-01-24","com.psafe.msuite.ultra_1mo_16.90",1,1
"2026-01-25","com.psafe.msuite.ultra_12mo_59.90",8,8
"2026-01-25","com.psafe.msuite.adsfree_lto_12mo",2,2
"2026-01-25","com.psafe.msuite.ads_free_12mo_13.90",1,1
"2026-01-25","com.psafe.msuite.pro_3day_trial_12mo49.9",1,1
