Data,NomeDoEvento,Pais,ContagemDeEventos,TotalDeUsuarios,EventosPorUsuario,ReceitaCombinada
2026-01-19,event_10350,Brazil,5209630,421334,34.774218525762116,0
2026-01-19,event_10351,Brazil,2795902,160991,19.935272265755906,0
2026-01-19,event_10353,Brazil,1814528,98700,19.280311965403293,0
2026-01-19,event_6800,Brazil,1170346,404498,7.815540982730758,0
2026-01-19,event_10350,United States,364792,34624,26.497566644875427,0
2026-01-19,event_10351,United States,299023,29009,24.380187525479005,0
2026-01-19,event_10352,Brazil,288430,50550,7.006850646195705,0
2026-01-19,event_10505,Brazil,211594,39860,8.103634483550994,0
2026-01-19,event_10353,United States,121659,9421,14.423117960877297,0
2026-01-19,event_1000,Brazil,98254,55900,1.7753324660306447,0
2026-01-19,event_6800,United States,94067,35780,7.018877779435905,0
2026-01-19,event_10511,Brazil,69009,2190,37.06176154672395,0
2026-01-19,event_10100,Brazil,53130,31073,1.7561894688130102,0
2026-01-19,event_9900,Brazil,39034,18530,2.1208367291496875,0
2026-01-19,event_10354,Brazil,29333,18826,1.5710460071769055,0
2026-01-19,event_10505,United States,28564,3830,10.666168782673637,0
2026-01-19,event_1600,Brazil,22937,16317,1.4061427170181462,0
2026-01-19,event_10352,United States,21901,7333,11.902717391304348,0
2026-01-19,event_10350,Indonesia,20322,2620,12.046235921754594,0
2026-01-19,event_10350,Mexico,19106,1702,24.307888040712466,0
2026-01-19,event_10363,Brazil,18807,5739,3.436951754385965,0
2026-01-19,event_10350,India,14726,1293,22.866459627329192,0
2026-01-19,event_2100,Brazil,14445,11144,1.2971443965517242,0
2026-01-19,event_10351,Mexico,13130,1259,22.521440823327616,0
2026-01-19,event_1000,United States,12465,6029,2.0844481605351173,0
2026-01-19,event_10350,Thailand,10895,2155,5.707176532215819,0
2026-01-19,event_2300,Brazil,10718,8636,1.2416589434661724,0
2026-01-19,event_6801,Brazil,10215,8845,1.1725206611570247,0
2026-01-19,event_10352,India,8257,769,34.69327731092437,0
2026-01-19,event_1750,Brazil,8143,6476,1.2574119827053736,0
2026-01-19,event_1650,Brazil,7760,6845,1.1341712949429992,0
