Data,SKU,ContagemDeEventos,TotalDeUsuarios
"2024-10-01","(not set)",188720,112094
"2024-10-02","(not set)",189144,113612
"2024-10-03","(not set)",186604,109944
"2024-10-04","(not set)",194996,114747
"2024-10-05","(not set)",193539,116267
"2024-10-06","(not set)",191725,115908
"2024-10-07","(not set)",199696,117662
"2024-10-08","(not set)",204517,121851
"2024-10-09","(not set)",206912,121819
"2024-10-10","(not set)",206263,121389
"2024-10-11","(not set)",204379,120410
"2024-10-12","(not set)",193264,115177
"2024-10-13","(not set)",193418,113105
"2024-10-14","(not set)",209212,121807
"2024-10-15","(not set)",211633,123501
"2024-10-16","(not set)",212102,123029
"2024-10-17","(not set)",208147,122534
"2024-10-18","(not set)",205786,122169
"2024-10-19","(not set)",199582,118540
"2024-10-20","(not set)",198421,117246
"2024-10-21","(not set)",210079,122601
"2024-10-22","(not set)",213819,125730
"2024-10-23","(not set)",211359,124608
"2024-10-24","(not set)",215104,125002
"2024-10-25","(not set)",207720,121283
"2024-10-26","(not set)",199689,118719
"2024-10-27","(not set)",194232,114396
"2024-10-28","(not set)",210148,121955
"2024-10-29","(not set)",207633,121850
"2024-10-30","(not set)",209632,121858
"2024-10-31","(not set)",215287,124859
"2024-11-01","(not set)",219951,126442
"2024-11-02","(not set)",210035,122541
"2024-11-03","(not set)",208747,120430
"2024-11-04","(not set)",220435,125335
"2024-11-05","(not set)",213157,122238
"2024-11-06","(not set)",212677,122921
"2024-11-07","(not set)",209984,123062
"2024-11-08","(not set)",210220,121308
"2024-11-09","(not set)",204331,120442
"2024-11-10","(not set)",194531,115258
"2024-11-11","(not set)",206221,118685
"2024-11-12","(not set)",207335,119034
"2024-11-13","(not set)",207272,120835
"2024-11-14","(not set)",200408,116408
"2024-11-15","(not set)",199736,115290
"2024-11-16","(not set)",197352,115897
"2024-11-17","(not set)",192222,111882
"2024-11-18","(not set)",202848,118576
"2024-11-19","(not set)",203913,117099
"2024-11-20","(not set)",205622,120096
"2024-11-21","(not set)",206017,119421
"2024-11-22","(not set)",202667,117853
"2024-11-23","(not set)",196803,115597
"2024-11-24","(not set)",188162,110795
"2024-11-25","(not set)",199133,116459
"2024-11-26","(not set)",199087,115723
"2024-11-27","(not set)",197993,115137
"2024-11-28","(not set)",197895,117530
"2024-11-29","(not set)",196372,116363
"2024-11-30","(not set)",190423,111674
"2024-12-01","(not set)",191589,112279
"2024-12-02","(not set)",203860,119554
"2024-12-03","(not set)",206852,120513
"2024-12-04","(not set)",228238,119820
"2024-12-05","(not set)",216092,119310
"2024-12-06","(not set)",202926,116139
"2024-12-07","(not set)",194024,110802
"2024-12-08","(not set)",188803,107867
"2024-12-09","(not set)",199993,115092
"2024-12-10","(not set)",206603,119052
"2024-12-11","(not set)",209462,118606
"2024-12-12","(not set)",195711,114386
"2024-12-13","(not set)",192273,113189
"2024-12-14","(not set)",188849,111218
"2024-12-15","(not set)",183907,107681
"2024-12-16","(not set)",194196,112675
"2024-12-17","(not set)",193309,112496
"2024-12-18","(not set)",192316,111974
"2024-12-19","(not set)",190891,110699
"2024-12-20","(not set)",191186,112223
"2024-12-21","(not set)",183189,108233
"2024-12-22","(not set)",178381,105183
"2024-12-23","(not set)",186225,108485
"2024-12-24","(not set)",170678,101887
"2024-12-25","(not set)",173608,100906
"2024-12-26","(not set)",194589,111705
"2024-12-27","(not set)",197137,113062
"2024-12-28","(not set)",188614,108355
"2024-12-29","(not set)",183829,106277
"2024-12-30","(not set)",191115,110166
"2024-12-31","(not set)",179853,106160
"2025-01-01","(not set)",180579,105102
"2025-01-02","(not set)",200932,114883
"2025-01-03","(not set)",199835,114760
"2025-01-04","(not set)",191169,109106
"2025-01-05","(not set)",188002,108770
