Data,SKU,ContagemDeEventos,TotalDeUsuarios
"2025-12-22","pro_yearly,pro_monthly,pro_bimonthly,pro_quarterly,pro_semiannual,pro_yearly,pro_monthly,pro_bimonth",17,1
"2025-12-23","test_pro:yearly:default,test_pro:monthly:default,test_pro:bimonthly:default,test_pro:quarterly:defau",24,1
"2025-12-23","pro_yearly,pro_monthly,pro_bimonthly,pro_quarterly,pro_semiannual,pro_yearly,pro_monthly,pro_bimonth",8,1
"2025-12-26","test_pro:yearly:default,test_pro:monthly:default,test_pro:bimonthly:default,test_pro:quarterly:defau",34,1
"2025-12-30","test_pro:yearly:default,test_pro:monthly:default,test_ultra:yearly:test-offer-1,test_ultra:yearly:te",2,1
"2025-12-30","test_pro:yearly:default,test_pro:monthly:default,test_pro:bimonthly:default,test_pro:quarterly:defau",1,1
"2026-01-02","test_pro:yearly:default,test_pro:monthly:default,test_pro:bimonthly:default,test_pro:quarterly:defau",10,1
"2026-01-02","pro_12mo_49.90:p1y:default,ultra_12mo_59.90:p1y:default",1,1
"2026-01-06","pro_3day_trial_12mo49.9:p1y:freetrial,pro_1mo_3.90:p1m:default,ultra_12mo_59.90:p1y:trial,ultra_1mo_",21,1
"2026-01-06","no_offers_available",12,1
"2026-01-06","ultra_12mo_59.90:p1y:default",10,1
"2026-01-06","test_pro:yearly:default,test_pro:monthly:default,test_pro:bimonthly:default,test_pro:quarterly:defau",5,1
"2026-01-06","ads_free_12mo_13.90:p1y:default",2,1
"2026-01-06","pro_12mo_49.90:p1y:default,ultra_12mo_59.90:p1y:default",2,1
"2026-01-07","pro_3day_trial_12mo49.9:p1y:freetrial,pro_1mo_3.90:p1m:default,ultra_12mo_59.90:p1y:trial,ultra_1mo_",8,1
"2026-01-07","no_offers_available",7,1
"2026-01-07","ultra_12mo_59.90:p1y:default",1,1
"2026-01-09","pro_3day_trial_12mo49.9:p1y:freetrial,pro_1mo_3.90:p1m:default,ultra_12mo_59.90:p1y:trial,ultra_1mo_",6,1
"2026-01-09","ads_free_12mo_13.90:p1y:default",2,1
"2026-01-09","pro_lto_12mo_39.90:p1y:default",2,1
"2026-01-09","ultra_12mo_59.90:p1y:default",2,1
"2026-01-09","pro_12mo_49.90:p1y:default,ultra_12mo_59.90:p1y:default",1,1
"2026-01-09","pro_1mo_3.90:p1m:default,pro_3day_trial_12mo49.9:p1y:default",1,1
"2026-01-09","ultra_trial_12mo_2.99:p1y:introprice",1,1
