Data,SKU,ContagemDeEventos,TotalDeUsuarios
"2024-10-01","com.psafe.msuite.ultra_12mo_59.90",1312,754
"2024-10-01","com.psafe.msuite.ads_free_12mo_13.90",456,352
"2024-10-01","com.psafe.msuite.pro_lto_12mo_39.90",145,110
"2024-10-01","com.psafe.msuite.pro_3day_trial_12mo49.9",65,46
"2024-10-01","com.psafe.msuite.adsfree_lto_12mo",39,24
"2024-10-01","com.psafe.msuite.ultra_1mo_16.90",39,29
"2024-10-01","com.psafe.msuite.pro_1mo_3.90",15,12
"2024-10-01","com.psafe.msuite.pro_12mo_49.90",12,10
"2024-10-01","com.psafe.msuite.ads_free_12mo",4,3
"2024-10-01","com.psafe.msuite.ultra_12mo",4,3
"2024-10-01","com.psafe.msuite.ultra_12mo_99.99",2,1
"2024-10-01","(not set)",1,1
"2024-10-02","com.psafe.msuite.ultra_12mo_59.90",1243,743
"2024-10-02","com.psafe.msuite.ads_free_12mo_13.90",431,346
"2024-10-02","com.psafe.msuite.pro_lto_12mo_39.90",236,102
"2024-10-02","com.psafe.msuite.pro_3day_trial_12mo49.9",71,46
"2024-10-02","com.psafe.msuite.adsfree_lto_12mo",49,40
"2024-10-02","com.psafe.msuite.ultra_1mo_16.90",30,20
"2024-10-02","com.psafe.msuite.pro_1mo_3.90",17,9
"2024-10-02","com.psafe.msuite.pro_12mo_49.90",9,7
"2024-10-02","com.psafe.msuite.ultra_12mo",7,4
"2024-10-02","com.psafe.msuite.ads_free_12mo",1,1
"2024-10-03","com.psafe.msuite.ultra_12mo_59.90",1185,736
"2024-10-03","com.psafe.msuite.ads_free_12mo_13.90",415,322
"2024-10-03","com.psafe.msuite.pro_lto_12mo_39.90",166,121
"2024-10-03","com.psafe.msuite.pro_3day_trial_12mo49.9",77,54
"2024-10-03","com.psafe.msuite.adsfree_lto_12mo",43,35
"2024-10-03","com.psafe.msuite.ultra_1mo_16.90",41,30
"2024-10-03","com.psafe.msuite.pro_1mo_3.90",17,15
"2024-10-03","com.psafe.msuite.ultra_12mo",13,5
"2024-10-03","com.psafe.msuite.pro_12mo_49.90",8,7
"2024-10-03","com.psafe.msuite.ads_free_12mo",3,3
"2024-10-03","com.psafe.msuite.pro_lto_12mo",1,1
"2024-10-04","com.psafe.msuite.ultra_12mo_59.90",1293,788
"2024-10-04","com.psafe.msuite.ads_free_12mo_13.90",436,346
"2024-10-04","com.psafe.msuite.pro_lto_12mo_39.90",131,97
"2024-10-04","com.psafe.msuite.pro_3day_trial_12mo49.9",65,50
"2024-10-04","com.psafe.msuite.adsfree_lto_12mo",47,38
"2024-10-04","com.psafe.msuite.ultra_1mo_16.90",21,19
"2024-10-04","com.psafe.msuite.ads_free_12mo",16,7
"2024-10-04","com.psafe.msuite.pro_1mo_3.90",14,7
"2024-10-04","com.psafe.msuite.ultra_12mo",10,7
"2024-10-04","com.psafe.msuite.pro_12mo_49.90",5,3
"2024-10-04","com.psafe.msuite.pro_1mo",1,1
"2024-10-04","com.psafe.msuite.pro_3day_trial_12mo",1,1
"2024-10-05","com.psafe.msuite.ultra_12mo_59.90",1141,719
"2024-10-05","com.psafe.msuite.ads_free_12mo_13.90",433,332
"2024-10-05","com.psafe.msuite.pro_lto_12mo_39.90",152,112
"2024-10-05","com.psafe.msuite.adsfree_lto_12mo",58,42
"2024-10-05","com.psafe.msuite.pro_3day_trial_12mo49.9",49,32
"2024-10-05","com.psafe.msuite.ultra_1mo_16.90",21,19
"2024-10-05","com.psafe.msuite.ultra_12mo",9,7
"2024-10-05","com.psafe.msuite.pro_12mo_49.90",8,4
"2024-10-05","com.psafe.msuite.ads_free_12mo",7,6
"2024-10-05","com.psafe.msuite.pro_1mo_3.90",2,2
"2024-10-05","com.psafe.msuite.ultra_trial_12mo_2.99",1,1
"2024-10-06","com.psafe.msuite.ultra_12mo_59.90",1169,718
"2024-10-06","com.psafe.msuite.ads_free_12mo_13.90",414,316
"2024-10-06","com.psafe.msuite.pro_lto_12mo_39.90",168,103
"2024-10-06","com.psafe.msuite.adsfree_lto_12mo",59,37
"2024-10-06","com.psafe.msuite.pro_3day_trial_12mo49.9",48,33
"2024-10-06","com.psafe.msuite.ultra_1mo_16.90",28,26
"2024-10-06","com.psafe.msuite.ultra_12mo",9,3
"2024-10-06","com.psafe.msuite.ads_free_12mo",8,4
"2024-10-06","com.psafe.msuite.pro_1mo_3.90",7,7
"2024-10-06","(not set)",2,2
