Data,Tela,ContagemDeEventos,TotalDeUsuarios
"2024-10-01","(not set)",5,4
"2024-10-02","(not set)",6,3
"2024-10-03","(not set)",7,4
"2024-10-04","(not set)",5,3
"2024-10-05","(not set)",3,2
"2024-10-06","(not set)",1,1
"2024-10-07","(not set)",1,1
"2024-10-08","(not set)",2,2
"2024-10-09","(not set)",3,2
"2024-10-10","(not set)",1,1
"2024-10-11","(not set)",4,2
"2024-10-12","(not set)",3,2
"2024-10-12","plans_manage",1,1
"2024-10-13","(not set)",3,2
"2024-10-15","(not set)",4,4
"2024-10-16","(not set)",1,1
"2024-10-17","(not set)",5,5
"2024-10-18","(not set)",3,2
"2024-10-19","(not set)",4,3
"2024-10-20","(not set)",4,3
"2024-10-21","(not set)",2,2
"2024-10-22","(not set)",13,7
"2024-10-23","(not set)",3,2
"2024-10-24","(not set)",2,2
"2024-10-26","(not set)",3,2
"2024-10-27","(not set)",3,2
"2024-10-28","(not set)",6,4
"2024-10-29","(not set)",4,2
"2024-10-30","(not set)",7,4
"2024-10-31","(not set)",2,1
"2024-11-01","(not set)",1,1
"2024-11-02","(not set)",9,6
"2024-11-03","(not set)",8,4
"2024-11-04","(not set)",2,2
"2024-11-05","(not set)",6,5
"2024-11-06","(not set)",5,3
"2024-11-07","(not set)",1,1
"2024-11-08","(not set)",2,2
"2024-11-09","(not set)",1,1
"2024-11-10","(not set)",1,1
"2024-11-11","(not set)",3,3
"2024-11-12","(not set)",1,1
"2024-11-13","(not set)",6,3
"2024-11-14","(not set)",9,5
"2024-11-15","(not set)",8,7
"2024-11-16","(not set)",6,4
"2024-11-17","(not set)",2,2
"2024-11-18","(not set)",5,3
"2024-11-19","(not set)",6,4
"2024-11-21","(not set)",3,1
"2024-11-22","(not set)",3,3
"2024-11-23","(not set)",2,2
"2024-11-24","(not set)",2,2
"2024-11-25","(not set)",3,3
"2024-11-26","(not set)",7,6
"2024-11-27","(not set)",10,9
"2024-11-28","(not set)",3,3
"2024-11-29","(not set)",3,2
"2024-11-30","(not set)",7,2
"2024-12-01","(not set)",5,3
"2024-12-02","(not set)",5,4
"2024-12-03","(not set)",1,1
"2024-12-04","(not set)",4,3
"2024-12-05","(not set)",10,7
"2024-12-06","(not set)",2,2
"2024-12-07","(not set)",3,3
"2024-12-07","plans_manage",1,1
"2024-12-08","(not set)",6,3
"2024-12-09","(not set)",3,2
"2024-12-10","(not set)",3,2
"2024-12-11","(not set)",5,5
"2024-12-12","(not set)",7,5
"2024-12-13","(not set)",4,3
"2024-12-14","(not set)",4,4
"2024-12-15","(not set)",6,4
"2024-12-16","(not set)",12,6
"2024-12-17","(not set)",11,3
"2024-12-18","(not set)",3,3
"2024-12-19","(not set)",10,6
"2024-12-20","(not set)",5,5
"2024-12-22","(not set)",5,4
"2024-12-23","(not set)",1,1
"2024-12-24","(not set)",5,3
"2024-12-27","(not set)",3,3
"2024-12-27","plans_manage",1,1
"2024-12-28","(not set)",4,4
"2024-12-29","(not set)",5,4
"2024-12-31","(not set)",6,3
"2025-01-01","(not set)",6,3
"2025-01-02","(not set)",3,3
"2025-01-03","(not set)",5,1
"2025-01-04","(not set)",13,7
"2025-01-05","(not set)",6,5
"2025-01-06","(not set)",4,1
"2025-01-07","(not set)",10,6
"2025-01-08","(not set)",7,5
"2025-01-09","(not set)",6,4
"2025-01-10","(not set)",5,4
"2025-01-11","(not set)",1,1
"2025-01-12","(not set)",3,2
"2025-01-13","(not set)",7,4
"2025-01-14","(not set)",7,4
"2025-01-16","(not set)",5,3
"2025-01-17","(not set)",6,4
"2025-01-19","(not set)",1,1
"2025-01-20","(not set)",2,2
"2025-01-21","(not set)",3,1
"2025-01-22","(not set)",2,2
"2025-01-23","(not set)",3,3
"2025-01-25","(not set)",3,2
"2025-01-26","(not set)",2,2
"2025-01-27","(not set)",3,3
"2025-01-28","(not set)",3,3
"2025-01-29","(not set)",9,7
"2025-01-30","(not set)",6,4
"2025-01-31","(not set)",7,3
"2025-02-01","(not set)",3,2
"2025-02-02","(not set)",10,6
"2025-02-03","(not set)",4,3
"2025-02-04","(not set)",12,6
"2025-02-05","(not set)",1,1
"2025-02-05","plans_manage",1,1
"2025-02-06","(not set)",5,3
"2025-02-07","(not set)",2,2
"2025-02-08","(not set)",8,5
"2025-02-09","(not set)",4,2
"2025-02-10","(not set)",5,1
"2025-02-11","(not set)",4,3
"2025-02-12","(not set)",10,4
"2025-02-13","(not set)",2,1
"2025-02-14","(not set)",2,2
"2025-02-15","(not set)",4,4
"2025-02-16","(not set)",1,1
"2025-02-17","(not set)",3,2
"2025-02-18","(not set)",3,2
"2025-02-19","(not set)",2,2
"2025-02-20","(not set)",5,3
"2025-02-21","(not set)",9,5
"2025-02-22","(not set)",2,2
"2025-02-23","(not set)",1,1
"2025-02-24","(not set)",2,1
"2025-02-25","(not set)",2,2
"2025-02-27","(not set)",1,1
"2025-02-28","(not set)",4,3
"2025-03-01","(not set)",10,5
"2025-03-02","(not set)",5,2
"2025-03-03","(not set)",7,3
"2025-03-04","(not set)",3,3
"2025-03-05","(not set)",3,2
"2025-03-06","(not set)",1,1
"2025-03-07","(not set)",4,3
"2025-03-08","(not set)",4,2
"2025-03-09","(not set)",2,2
"2025-03-11","(not set)",3,2
"2025-03-12","(not set)",7,6
"2025-03-13","(not set)",5,2
"2025-03-15","(not set)",3,3
"2025-03-16","(not set)",2,2
"2025-03-17","(not set)",6,4
"2025-03-18","(not set)",9,4
"2025-03-19","(not set)",1,1
"2025-03-20","(not set)",7,4
"2025-03-21","(not set)",1,1
"2025-03-22","(not set)",2,1
"2025-03-23","(not set)",2,2
"2025-03-24","(not set)",5,3
"2025-03-25","(not set)",2,2
"2025-03-26","(not set)",9,5
"2025-03-27","(not set)",1,1
"2025-03-28","(not set)",3,2
"2025-03-31","(not set)",8,2
"2025-04-01","(not set)",1,1
"2025-04-02","(not set)",1,1
"2025-04-03","(not set)",3,2
"2025-04-04","(not set)",5,4
"2025-04-06","(not set)",3,2
"2025-04-07","(not set)",1,1
"2025-04-10","(not set)",2,2
"2025-04-11","(not set)",6,4
"2025-04-12","(not set)",1,1
"2025-04-13","(not set)",2,2
"2025-04-14","(not set)",1,1
"2025-04-15","(not set)",3,2
"2025-04-16","(not set)",6,2
"2025-04-17","(not set)",3,2
"2025-04-18","(not set)",4,4
"2025-04-19","(not set)",1,1
"2025-04-21","(not set)",3,3
"2025-04-22","(not set)",2,1
"2025-04-23","(not set)",4,2
"2025-04-24","(not set)",1,1
"2025-04-25","(not set)",3,2
"2025-04-26","(not set)",2,2
"2025-04-27","(not set)",2,2
"2025-04-28","(not set)",2,2
"2025-04-29","(not set)",1,1
"2025-05-01","(not set)",1,1
"2025-05-03","(not set)",9,3
"2025-05-04","(not set)",7,2
"2025-05-05","(not set)",5,5
"2025-05-06","(not set)",1,1
"2025-05-07","(not set)",5,2
"2025-05-08","(not set)",10,2
"2025-05-09","(not set)",1,1
"2025-05-10","(not set)",1,1
"2025-05-12","(not set)",2,2
"2025-05-13","(not set)",1,1
"2025-05-14","(not set)",5,2
"2025-05-15","(not set)",3,3
"2025-05-16","(not set)",8,5
"2025-05-17","(not set)",4,3
"2025-05-19","(not set)",6,3
"2025-05-20","(not set)",1,1
"2025-05-21","(not set)",5,4
"2025-05-22","(not set)",4,4
"2025-05-24","(not set)",1,1
"2025-05-25","(not set)",1,1
"2025-05-26","(not set)",3,1
"2025-05-27","(not set)",3,3
"2025-05-28","(not set)",3,2
"2025-05-30","(not set)",1,1
"2025-05-31","(not set)",1,1
"2025-06-01","(not set)",1,1
"2025-06-02","(not set)",3,3
"2025-06-04","(not set)",5,4
"2025-06-05","(not set)",3,3
"2025-06-06","(not set)",1,1
"2025-06-08","(not set)",1,1
"2025-06-09","(not set)",3,2
"2025-06-10","(not set)",4,1
"2025-06-11","(not set)",3,3
"2025-06-12","(not set)",1,1
"2025-06-14","(not set)",5,2
"2025-06-16","(not set)",4,2
"2025-06-17","(not set)",2,1
"2025-06-18","(not set)",7,3
"2025-06-19","(not set)",1,1
"2025-06-20","(not set)",5,2
"2025-06-22","(not set)",1,1
"2025-06-23","(not set)",6,3
"2025-06-24","(not set)",10,7
"2025-06-25","(not set)",1,1
"2025-06-26","(not set)",1,1
"2025-06-27","(not set)",15,3
"2025-06-28","(not set)",3,1
"2025-06-29","(not set)",2,1
"2025-06-30","(not set)",2,1
"2025-07-01","(not set)",5,4
"2025-07-02","(not set)",4,3
"2025-07-04","(not set)",4,3
"2025-07-05","(not set)",2,2
"2025-07-06","(not set)",6,1
"2025-07-07","(not set)",4,2
"2025-07-08","(not set)",3,3
"2025-07-10","(not set)",16,1
"2025-07-11","(not set)",2,1
"2025-07-12","(not set)",5,3
"2025-07-13","(not set)",3,2
"2025-07-14","(not set)",2,2
"2025-07-15","(not set)",2,2
"2025-07-16","(not set)",3,3
"2025-07-17","(not set)",1,1
"2025-07-20","(not set)",1,1
"2025-07-22","(not set)",3,3
"2025-07-23","(not set)",11,4
"2025-07-23","plans_manage",1,1
"2025-07-25","(not set)",3,1
"2025-07-26","(not set)",2,2
"2025-07-27","(not set)",2,2
"2025-07-29","(not set)",6,3
"2025-07-30","(not set)",2,2
"2025-07-31","(not set)",1,1
"2025-08-01","plans_manage",4,1
"2025-08-01","(not set)",2,2
"2025-08-03","(not set)",2,2
"2025-08-04","(not set)",4,3
"2025-08-05","(not set)",6,3
"2025-08-06","(not set)",1,1
"2025-08-08","(not set)",4,2
"2025-08-11","(not set)",2,2
"2025-08-12","(not set)",1,1
"2025-08-13","(not set)",2,2
"2025-08-14","(not set)",4,1
"2025-08-15","(not set)",3,3
"2025-08-16","(not set)",2,1
"2025-08-17","(not set)",3,3
"2025-08-18","(not set)",3,2
"2025-08-19","(not set)",4,1
"2025-08-20","(not set)",7,2
"2025-08-21","(not set)",8,4
"2025-08-22","(not set)",10,4
"2025-08-23","(not set)",6,5
"2025-08-24","(not set)",1,1
"2025-08-25","(not set)",7,6
"2025-08-26","(not set)",6,5
"2025-08-27","(not set)",4,2
"2025-08-28","(not set)",10,6
"2025-08-29","(not set)",10,5
"2025-08-30","(not set)",3,3
"2025-09-01","(not set)",7,5
"2025-09-02","(not set)",1,1
