Data,Tela,ContagemDeEventos,TotalDeUsuarios
"2024-10-01","(not set)",2073,1256
"2024-10-01","trial_white_animation_all_features",14,11
"2024-10-01","adsfree_toggle_switch",3,3
"2024-10-01","plans_offer_annual_highlighted",2,2
"2024-10-01","trial",1,1
"2024-10-01","trial_churner",1,1
"2024-10-02","(not set)",2067,1242
"2024-10-02","trial_white_animation_all_features",14,9
"2024-10-02","adsfree_toggle_switch",7,6
"2024-10-02","plans_offer_annual_highlighted",4,1
"2024-10-02","adsfree",1,1
"2024-10-02","pro_promotion_urgent",1,1
"2024-10-03","(not set)",1958,1242
"2024-10-03","trial_white_animation_all_features",8,7
"2024-10-03","adsfree_toggle_switch",3,2
"2024-10-04","(not set)",2007,1271
"2024-10-04","trial_white_animation_all_features",17,15
"2024-10-04","adsfree_toggle_switch",13,6
"2024-10-04","trial",2,2
"2024-10-04","pro_promotion_urgent",1,1
"2024-10-05","(not set)",1864,1193
"2024-10-05","trial_white_animation_all_features",14,11
"2024-10-05","adsfree_toggle_switch",2,2
"2024-10-05","adsfree",1,1
"2024-10-06","(not set)",1891,1164
"2024-10-06","trial_white_animation_all_features",15,11
"2024-10-06","adsfree_toggle_switch",5,4
"2024-10-06","adsfree_promotion_lto",1,1
"2024-10-06","plans_offer_annual_highlighted",1,1
"2024-10-06","pro_promotion_lto",1,1
"2024-10-07","(not set)",1890,1188
"2024-10-07","trial_white_animation_all_features",25,17
"2024-10-07","adsfree",1,1
"2024-10-08","(not set)",1959,1237
"2024-10-08","trial_white_animation_all_features",16,13
"2024-10-08","adsfree_toggle_switch",1,1
"2024-10-08","plans_offer_annual_highlighted",1,1
"2024-10-09","(not set)",2087,1246
"2024-10-09","trial_white_animation_all_features",7,6
"2024-10-09","adsfree_toggle_switch",5,5
"2024-10-09","adsfree_promotion_lto",1,1
"2024-10-09","pro_promotion_urgent",1,1
"2024-10-10","(not set)",1950,1212
"2024-10-10","trial_white_animation_all_features",20,11
"2024-10-10","adsfree_toggle_switch",3,3
"2024-10-10","plans_offer_annual_highlighted",2,1
"2024-10-10","trial",1,1
"2024-10-11","(not set)",1980,1192
"2024-10-11","trial_white_animation_all_features",13,9
"2024-10-12","(not set)",1863,1186
"2024-10-12","trial_white_animation_all_features",17,15
"2024-10-12","adsfree_toggle_switch",2,2
"2024-10-12","subscription_churn_alert",1,1
"2024-10-12","trial",1,1
"2024-10-13","(not set)",1890,1216
"2024-10-13","trial_white_animation_all_features",10,8
"2024-10-13","adsfree_toggle_switch",3,2
"2024-10-13","trial",1,1
"2024-10-14","(not set)",1984,1199
"2024-10-14","trial_white_animation_all_features",10,7
"2024-10-14","adsfree_toggle_switch",1,1
"2024-10-14","plans_offer_annual_highlighted",1,1
"2024-10-14","pro_promotion_urgent",1,1
"2024-10-15","(not set)",2068,1256
"2024-10-15","trial_white_animation_all_features",14,12
"2024-10-15","adsfree_toggle_switch",2,1
"2024-10-16","(not set)",1997,1255
"2024-10-16","trial_white_animation_all_features",29,18
"2024-10-16","bottom_timer_red",5,1
"2024-10-16","adsfree_toggle_switch",2,2
"2024-10-16","plans_offer_annual_highlighted",2,2
"2024-10-16","pro_promotion_urgent",1,1
"2024-10-17","(not set)",1915,1235
"2024-10-17","trial_white_animation_all_features",27,19
"2024-10-17","adsfree_toggle_switch",2,2
