Data,SKU,ContagemDeEventos,TotalDeUsuarios
"2024-10-01","com.psafe.msuite.pro_lto_12mo_39.90",10953,10804
"2024-10-01","(not set)",6143,4984
"2024-10-01","com.psafe.msuite.adsfree_lto_12mo",5760,5737
"2024-10-01","com.psafe.msuite.ultra_12mo_59.90",3211,2871
"2024-10-01","com.psafe.msuite.ads_free_12mo_13.90",2839,2675
"2024-10-01","com.psafe.msuite.pro_3day_trial_12mo49.9",174,155
"2024-10-01","com.psafe.msuite.pro_1mo_3.90,com.psafe.msuite.pro_3day_trial_12mo49.9",118,118
"2024-10-01","com.psafe.msuite.pro_12mo_49.90,com.psafe.msuite.ultra_12mo_59.90",32,22
"2024-10-01","0.0",15,13
"2024-10-01","com.psafe.msuite.ultra_1mo_16.90,com.psafe.msuite.ultra_12mo_59.90",11,9
"2024-10-01","com.psafe.msuite.ultra_12mo",10,10
"2024-10-01","com.psafe.msuite.pro_12mo_49.90",8,8
"2024-10-01","com.psafe.msuite.ads_free_12mo",6,6
"2024-10-01","com.psafe.msuite.ultra_12mo_99.99",3,2
"2024-10-01","com.psafe.msuite.ads_free_12mo_13.90,com.psafe.msuite.pro_1mo_3.90,com.psafe.msuite.ultra_1mo_16.90",2,1
"2024-10-01","com.psafe.msuite.pro_lto_12mo",1,1
"2024-10-01","com.psafe.msuite.ultra_trial_12mo_2.99",1,1
"2024-10-02","com.psafe.msuite.pro_lto_12mo_39.90",10322,10333
"2024-10-02","(not set)",5911,4838
"2024-10-02","com.psafe.msuite.adsfree_lto_12mo",5619,5594
"2024-10-02","com.psafe.msuite.ultra_12mo_59.90",3124,2806
"2024-10-02","com.psafe.msuite.ads_free_12mo_13.90",2965,2791
"2024-10-02","com.psafe.msuite.pro_3day_trial_12mo49.9",185,166
"2024-10-02","com.psafe.msuite.pro_1mo_3.90,com.psafe.msuite.pro_3day_trial_12mo49.9",108,108
"2024-10-02","com.psafe.msuite.pro_12mo_49.90,com.psafe.msuite.ultra_12mo_59.90",24,13
"2024-10-02","com.psafe.msuite.ultra_12mo",14,13
"2024-10-02","0.0",13,11
"2024-10-02","com.psafe.msuite.pro_12mo_49.90",13,10
"2024-10-02","com.psafe.msuite.ultra_1mo_16.90,com.psafe.msuite.ultra_12mo_59.90",10,10
"2024-10-02","com.psafe.msuite.ads_free_12mo",9,9
